Locus_tag	ORF_start	ORF_stop	Gene_start	Gene_end	Peptide_count	Name_protein
YPCD1.71c	50211	51077	50211	51077	5	targeted effector protein
YPO0038	50305	52428	50305	52413	11	bifunctional (p)ppGpp synthetase II/ guanosine-3',5'-bis pyrophosphate 3'-pyrophosphohydrolase
YPCD1.72c	51473	53674	51473	53671	14	secreted protein kinase
YPO0039	52433	52762	52433	52708	9	DNA-directed RNA polymerase subunit omega
YPO0040	52763	53395	52763	53386	5	guanylate kinase
YPCD1.73c	53679	54149	53679	54128	3	hypothetical protein YPCD1.73c
YPMT1.54	55736	56308	55745	56308	7	hypothetical protein YPMT1.54
YPO0043	56529	57407	56529	57392	10	hypothetical protein YPO0043
YPO0044	57498	58235	57519	58235	10	ribonuclease PH
YPO0045	58351	59049	58402	59049	18	orotate phosphoribosyltransferase
YPO0046	59184	59876	59184	59780	4	nucleoid occlusion protein
YPO0047	59902	60378	59902	60357	6	deoxyuridine 5'-triphosphate nucleotidohydrolase
YPO0048	60338	61702	60338	61552	11	bifunctional phosphopantothenoylcysteine decarboxylase/phosphopantothenate synthase
YPO0050	62659	62916	62680	62916	6	50S ribosomal protein L28
YPO0051	62925	63095	62928	63095	9	50S ribosomal protein L33
YPO0053	63993	64523	63993	64472	3	phosphopantetheine adenylyltransferase
YPCD1.91	65228	65881	65330	65881	2	putative resolvase
YPO0055	65252	66682	65252	66529	6	3-deoxy-D-manno-octulosonic-acid transferase
YPMT1.65	65706	66050	65742	66050	2	hypothetical protein YPMT1.65
YPMT1.66c	66212	67609	66212	67609	6	putative DNA-binding protein
YPO0056	66949	67959	66949	67914	5	ADP-heptose:LPS heptosyl transferase I
YPCD1.94	67162	68031	67222	68031	1	putative transposase
YPO0057	67914	69008	67914	68978	4	ADP-heptose:LPS heptosyltransferase II
YPMT1.67c	67988	68980	67988	68959	7	partitioning protein B
YPCD1.95c	68179	68616	68179	68604	11	secretion chaperone
YPMT1.68c	68956	70257	68956	70161	5	partitioning protein A
YPO0058	69009	69989	69009	69941	30	ADP-L-glycero-D-mannoheptose-6-epimerase
YPO0059	70112	71398	70187	71398	32	2-amino-3-ketobutyrate coenzyme A ligase
YPMT1.68A	70439	70690	70463	70690	2	hypothetical protein YPMT1.68A
YPMT1.69	70666	71016	70690	71016	4	hypothetical protein YPMT1.69
YPMT1.70	71213	71836	71216	71836	1	putative resolvase
YPO0060	71399	72433	71408	72433	12	L-threonine 3-dehydrogenase
YPMT1.71	71830	72843	71857	72843	6	hypothetical protein YPMT1.71
YPO0063	73529	74908	73529	74881	3	hypothetical protein YPO0063
YPMT1.74	74444	76210	74447	76210	114	toxin protein
YPO0064	74909	76471	74909	76456	9	phosphoglyceromutase
YPO0065	76832	77287	76853	77287	7	hypothetical protein YPO0065
YPO0066	77397	77654	77406	77654	4	glutaredoxin 3
YPO0067	77724	78218	77742	78218	18	preprotein translocase subunit SecB
YPO0068	78200	79237	78218	79237	9	NAD(P)H-dependent glycerol-3-phosphate dehydrogenase
YPO0070	79479	80324	79503	80324	3	serine acetyltransferase
YPO0071	80447	81109	80447	80935	2	putative methyltransferase
YPO0072	81091	82188	81124	82188	1	bifunctional regulatory protein/DNA repair protein
YPMT1.81c	81334	82269	81334	82257	1	putative F1 operon positive regulatory protein
YPO0073	82237	83652	82237	83613	3	two-component sensor protein
YPMT1.82	82516	83343	82567	83343	10	putative F1 chaperone protein
YPMT1.83	83347	85869	83368	85869	8	putative F1 capsule anchoring protein
YPO0074	83610	84338	83610	84308	8	DNA-binding transcriptional regulator CpxR
YPO0075	84473	84970	84482	84970	9	periplasmic stress adaptor protein CpxP
YPMT1.84	85947	86462	85950	86462	14	F1 capsule antigen
YPO0077	87166	88071	87169	88071	1	ferrous iron efflux protein F
YPO0078	88238	89272	88289	89272	30	6-phosphofructokinase
YPMT1.86c	88320	88745	88320	88706	8	hypothetical protein YPMT1.86c
YPO0084	94637	95938	94892	95938	1	possible transcriptional regulator
YPO0085	96170	96967	96170	96937	31	triosephosphate isomerase
YPO0086	97066	97704	97066	97701	1	hypothetical protein YPO0086
YPO0088	98624	99388	98624	99370	2	ferredoxin-NADP reductase
YPO0093	102996	103247	103008	103247	9	hypothetical protein YPO0093
YPO0102	110723	111316	110732	111316	8	hypothetical protein YPO0102
YPO0103	111433	112002	111433	111918	7	ribonuclease activity regulator protein RraA
YPO0105	113213	114550	113213	114544	33	ATP-dependent protease ATP-binding subunit HslU
YPO0106	114615	115211	114615	115139	7	ATP-dependent protease peptidase subunit
YPO0107	115239	116126	115239	116084	7	cell division protein FtsN
YPO0108	116150	117271	116150	117178	7	DNA-binding transcriptional regulator CytR
YPO0110	117531	119735	117531	119729	5	primosome assembly protein PriA
YPO0111	119858	120187	119972	120187	4	50S ribosomal protein L31
YPO0112	120748	121215	120748	121203	2	hypothetical protein YPO0112
YPO0114	121552	121932	121552	121869	3	transcriptional repressor protein MetJ
YPO0116	123370	125844	123409	125844	6	bifunctional aspartate kinase II/homoserine dehydrogenase II
YPO0117	126071	126961	126077	126961	1	5,10-methylenetetrahydrofolate reductase
YPO0120	128686	129453	128686	129444	9	DNA-binding transcriptional repressor GlpR
YPO0123	131037	133775	131037	133748	14	transcriptional regulator MalT
YPO0126	136471	138579	136483	138579	16	4-alpha-glucanotransferase
YPO0127	138908	139492	138908	139483	8	putative DNA uptake protein
YPO0129	140280	141107	140331	141107	3	putative biotin biosynthesis protein
YPO0130	141220	141546	141277	141546	6	hypothetical protein YPO0130
YPO0131	141684	141965	141684	141941	1	hypothetical protein YPO0131
YPO0132	141977	144343	141977	144292	11	ferrous iron transport protein B
YPO0133	144384	144662	144384	144611	3	ferrous iron transport protein A
YPO0134	145135	147531	145135	147510	26	hypothetical protein YPO0134
YPO0136	148653	149414	148695	149414	15	osmolarity response regulator
YPO0137	149408	150763	149411	150763	3	osmolarity sensor protein
YPO0138	150898	152535	150898	152517	51	phosphoenolpyruvate carboxykinase
YPO0139	152714	153604	152714	153595	8	Hsp33-like chaperonin
YPO0140	153758	154183	153758	154165	2	heat shock protein 15
YPO0141	154194	154952	154194	154874	2	hypothetical protein YPO0141
YPO0142	155018	157240	155018	157165	3	hypothetical protein YPO0142
YPO0144	157740	158297	157752	158297	5	ADP-ribose diphosphatase NudE
YPO0145	158433	161021	158433	160988	17	peptidoglycan synthetase
YPO0150	163602	165128	164004	165128	1	putative outer membrane porin HofQ
YPO0151	165423	165998	165477	165998	12	shikimate kinase I
YPO0152	166031	167143	166055	167143	7	3-dehydroquinate synthase
YPO0153	167397	168386	167397	168386	15	hypothetical protein YPO0153
YPO0154	168458	169285	168470	169285	2	DNA adenine methylase
YPO0155	169561	170265	169588	170265	15	ribulose-phosphate 3-epimerase
YPO0156	170222	170956	170258	170956	4	phosphoglycolate phosphatase
YPO0157	170940	171998	170958	171998	18	tryptophanyl-tRNA synthetase
YPO0159	173653	174501	173653	174459	1	nitrite transporter NirC
YPO0162	177757	179151	177841	179151	4	cytosine deaminase
YPO0164	180897	182966	180906	182966	2	putative membrane receptor protein
YPO0165	183067	184065	183067	184053	1	LacI-family transcriptional regulator
YPO0166	184302	185651	184302	185615	2	putative glycosyl hydrolase
YPO0167	186083	186700	186131	186700	16	peptidyl-prolyl cis-trans isomerase A (rotamase A)
YPO0168	186975	188567	187026	188567	11	hypothetical protein YPO0168
YPO0174	192920	195055	192920	195040	16	hypothetical protein YPO0174
YPO0175	195126	195764	195126	195758	17	cAMP-regulatory protein
YPO0178	197182	198147	197182	198051	4	phosphoribulokinase 1
YPO0180	198433	199449	198433	199413	5	putative hydrolase
YPO0182	200317	201381	200320	201381	1	taurine transporter substrate binding subunit
YPO0186	203866	204846	203866	204846	7	putative sugar transferase
YPO0192	210593	210829	210608	210829	1	hypothetical protein YPO0192
YPO0193	210861	211511	210924	211511	11	FKBP-type peptidyl-prolyl cis-trans isomerase
YPO0194	211732	212004	211732	211950	4	hypothetical protein YPO0194
YPO0195	212223	213065	212265	213065	39	FKBP-type peptidyl-prolyl cis-trans isomerase
YPO0196	213304	214041	213307	214041	6	putative DNA-binding protein
YPO0199	214794	215108	214821	215108	1	sulfur transfer complex subunit TusB
YPO0200	215186	215620	215246	215620	6	30S ribosomal protein S12
YPO0201	215702	216187	215717	216187	45	30S ribosomal protein S7
YPO0202	216272	218389	216281	218389	103	elongation factor G
YPO0203	218432	219646	218462	219646	82	elongation factor Tu
YPO0206	220693	221241	220768	221241	4	bacterioferritin
YPO0209	221619	221966	221655	221966	20	30S ribosomal protein S10
YPO0210	221987	222628	221999	222628	25	50S ribosomal protein L3
YPO0211	222609	223250	222645	223250	42	50S ribosomal protein L4
YPO0212	223235	223549	223247	223549	6	50S ribosomal protein L23
YPO0213	223563	224390	223566	224390	46	50S ribosomal protein L2
YPO0214	224402	224683	224405	224683	21	30S ribosomal protein S19
YPO0215	224689	225030	224698	225030	18	50S ribosomal protein L22
YPO0216	224940	225746	225048	225746	37	30S ribosomal protein S3
YPO0217	225747	226169	225759	226169	18	50S ribosomal protein L16
YPO0218	226157	226360	226169	226360	15	50S ribosomal protein L29
YPO0219	226345	226614	226360	226614	5	30S ribosomal protein S17
YPO0220	226783	227166	226795	227166	23	50S ribosomal protein L14
YPO0221	227135	227491	227177	227491	18	50S ribosomal protein L24
YPO0222	227476	228045	227506	228045	40	50S ribosomal protein L5
YPO0222a	227816	228364	228059	228364	8	30S ribosomal protein S14
YPO0223	228392	228790	228398	228790	24	30S ribosomal protein S8
YPO0224	228721	229338	228805	229338	28	50S ribosomal protein L6
YPO0225	229339	229701	229348	229701	14	50S ribosomal protein L18
YPO0226	229707	230219	229716	230219	58	30S ribosomal protein S5
YPO0227	230192	230401	230222	230401	12	50S ribosomal protein L30
YPO0228	230402	230839	230405	230839	22	50S ribosomal protein L15
YPO0229	230844	232178	230847	232178	7	preprotein translocase subunit SecY
YPO0231	232467	232832	232476	232832	13	30S ribosomal protein S13
YPO0232	232846	233238	232849	233238	14	30S ribosomal protein S11
YPO0233	233251	233889	233269	233889	33	30S ribosomal protein S4
YPO0234	233897	234904	233915	234904	34	DNA-directed RNA polymerase subunit alpha
YPO0235	234921	235334	234945	235334	11	50S ribosomal protein L17
YPO0236	235772	236206	235781	236206	1	zinc-responsive transcriptional regulator
YPO0238	236604	237056	236604	237017	2	large-conductance mechanosensitive channel
YPO0239	237156	238556	237156	238532	7	potassium transporter peripheral membrane component
YPO0240	238588	239970	238588	239877	7	16S rRNA methyltransferase B
YPO0241	239971	240942	239971	240918	9	methionyl-tRNA formyltransferase
YPO0242	240943	241461	240943	241455	5	peptide deformylase
YPO0245a	243723	244310	243738	244310	1	putative ribosome maturation factor
YPO0246	244292	245140	244319	245140	9	shikimate 5-dehydrogenase
YPO0251	248712	250376	248712	250367	1	acetate permease
YPO0253	250732	252732	250732	252690	35	acetyl-CoA synthetase
YPO0254	253542	254861	253545	254861	1	glutamate/aspartate:proton symporter
YPO0266	265310	267496	265448	267496	1	secretion system apparatus protein SsaV
YPO0281	280999	281874	280999	281838	1	hemin-binding periplasmic protein
YPO0282	281835	282881	281835	282872	10	hemin transport protein
YPO0283	282991	285045	282991	285021	1	hemin receptor precursor
YPO0284	285436	286119	285436	286086	7	hypothetical protein YPO0284
YPO0285	286120	286770	286120	286665	9	hypothetical protein YPO0285
YPO0286	286662	288029	286662	287975	4	coproporphyrinogen III oxidase
YPO0287	288316	289152	288316	289116	19	putative methylenetetrahydrofolate reductase
YPO0289	290316	291287	290316	291275	1	putative ATP/GTP-binding protein
YPO0290	291275	292411	291275	292354	12	hypothetical protein YPO0290
YPO0291	292347	293204	292347	293159	4	hypothetical protein YPO0291
YPO0292	293152	294324	293152	294288	3	hypothetical protein YPO0292
YPO0294	295598	296230	295637	296230	16	tellurium resistance protein
YPO0295	296215	297414	296230	297414	8	putative tellurite resistance protein
YPO0296	297351	297902	297447	297902	7	tellurite resistance protein
YPO0297	297918	298961	297924	298961	3	tellurium resistance protein
YPO0298	299001	299603	299025	299603	19	tellurium resistance protein
YPO0299	299724	300362	299787	300362	16	tellurium resistance protein
YPO0306	307242	308645	307245	308645	1	hypothetical protein YPO0306
YPO0310	316654	317220	316696	317220	1	chorismate pyruvate lyase
YPO0312	318433	321045	318433	320910	21	glycerol-3-phosphate acyltransferase
YPO0314	321489	322142	321534	322142	5	LexA repressor
YPO0315	322302	322829	322302	322811	7	zinc uptake transcriptional repressor
YPO0316	323066	324103	323066	324103	5	tRNA-dihydrouridine synthase A
YPO0319	325182	326243	325182	326165	11	quinone oxidoreductase, NADPH-dependent
YPO0320	326485	327903	326497	327903	4	replicative DNA helicase
YPO0321	327997	329079	328000	329079	2	alanine racemase
YPO0322	329253	330458	329265	330458	11	aromatic amino acid aminotransferase
YPO0323	330964	331344	330985	331344	4	hypothetical protein YPO0323
YPO0324	331437	334280	331437	334280	14	excinuclease ABC subunit A
YPO0325	334690	335286	334738	335286	10	single-stranded DNA-binding protein
YPO0333	341977	342876	342004	342876	1	transcriptional activator RhaR
YPO0337	344915	345343	344915	345340	13	hypothetical protein YPO0337
YPO0341	348976	349599	348976	349551	4	putative transcriptional regulator
YPO0345	354798	356597	354798	356585	1	thiol:disulfide interchange protein precursor
YPO0346	356561	356944	356561	356920	4	divalent-cation tolerance protein CutA
YPO0347	357105	358520	357105	358406	1	anaerobic C4-dicarboxylate transporter
YPO0348	358526	360001	358526	359962	38	aspartate ammonia-lyase
YPO0349	360386	360988	360410	360988	3	FxsA
YPO0350	361210	361536	361243	361536	16	co-chaperonin GroES
YPO0351	361550	363229	361583	363229	246	chaperonin GroEL
YPO0352	363688	364251	363865	364251	7	putative lipoprotein
YPO0353	364536	365567	364536	365564	8	hypothetical protein YPO0353
YPO0354	365534	366166	365600	366166	6	elongation factor P
YPO0358	367975	368394	367975	368367	2	fumarate reductase subunit C
YPO0359	368384	369136	368384	369118	17	fumarate reductase iron-sulfur subunit
YPO0360	369111	370994	369111	370934	28	fumarate reductase flavoprotein subunit
YPO0362	371326	372369	371392	372369	7	lysyl-tRNA synthetase
YPO0363	372490	375861	372490	375849	9	hypothetical protein YPO0363
YPO0364	375873	376775	375873	376754	7	phosphatidylserine decarboxylase
YPO0365	377079	378137	377079	378131	7	ribosome-associated GTPase
YPO0366	378181	378876	378331	378876	7	oligoribonuclease
YPO0367	379821	381125	379821	381056	1	putative iron-sulfur cluster-binding protein
YPO0368	381034	382569	381055	382569	5	hypothetical protein YPO0368
YPO0369	382562	383050	382580	383050	4	putative ATPase
YPO0370	383034	384971	383190	384971	11	putative N-acetylmuramoyl-L-alanine amidase-family protein
YPO0371	384972	386894	384987	386894	6	DNA mismatch repair protein
YPO0372	386884	387828	386887	387828	6	tRNA delta(2)-isopentenylpyrophosphate transferase
YPO0373	387932	388249	387944	388249	9	RNA-binding protein Hfq
YPO0374	388336	389634	388348	389634	18	putative GTPase HflX
YPO0375	389872	391134	389875	391134	36	FtsH protease regulator HflK
YPO0376	391135	392142	391138	392142	46	FtsH protease regulator HflC
YPO0378	392581	393912	392614	393912	34	adenylosuccinate synthetase
YPO0379	394197	394706	394281	394706	1	transcriptional repressor NsrR
YPO0380	394917	397481	394947	397481	41	exoribonuclease R
YPO0381	397564	398340	397600	398340	9	23S rRNA (guanosine-2'-O-)-methyltransferase
YPO0383	398715	400391	398748	400391	3	isovaleryl CoA dehydrogenase
YPO0391	407449	408774	407449	408774	2	modification methylase
YPO0406	424378	424893	424378	424869	3	hypothetical protein YPO0406
YPO0407	425170	425484	425170	425460	5	autoinducer-2 (AI-2) modifying protein LsrG
YPO0408	425524	426405	425524	426399	27	aldolase
YPO0409	426455	427579	426455	427474	23	putative periplasmic solute-binding protein
YPO0412	429587	431248	429587	431170	1	putative ABC transporter ATP-binding protein
YPO0415	432619	434265	432673	434265	7	autoinducer-2 (AI-2) kinase
YPO0416	434557	435774	434734	435774	9	putative lipopolysaccharide core biosynthesis protein
YPO0417	435801	437054	435822	437054	2	putative O-antigen biosynthesis protein
YPO0420	438098	439231	438149	439231	7	putative lipoprotein
YPO0421	439219	442317	439231	442317	3	putative multi-drug efflux protein
YPO0422	442678	443040	442678	443010	2	hypothetical protein YPO0422
YPO0424	443810	444898	443813	444898	6	putative pectinesterase
YPO0425	445439	446623	445439	446611	1	HmsT protein
YPO0427	447705	448781	447705	448748	10	16S ribosomal RNA m2G1207 methyltransferase
YPO0428	448822	449298	448861	449298	1	DNA polymerase III subunit psi
YPO0429	449186	449686	449243	449686	2	ribosomal-protein-alanine N-acetyltransferase
YPO0430	449826	451454	449865	451454	19	peptide chain release factor 3
YPO0431	451763	452395	451781	452395	8	periplasmic protein
YPO0433	452797	454068	452797	454068	3	hypothetical protein YPO0433
YPO0436	457221	458072	457275	458072	3	deoxyribose-phosphate aldolase
YPO0439	459577	460866	459643	460866	13	phosphopentomutase
YPO0440	460973	461710	460991	461710	4	purine nucleoside phosphorylase
YPO0441	461822	462532	461822	462523	2	hypothetical protein YPO0441
YPO0442	462752	463735	462755	463735	12	phosphoserine phosphatase
YPO0443	463814	465205	463823	465205	6	DNA repair protein RadA
YPO0444	465343	466635	465364	466635	6	nicotinamide-nucleotide adenylyltransferase
YPO0445	466711	467922	466792	467922	2	hypothetical protein YPO0445
YPO0448	469914	470444	469914	470420	5	putative lipoprotein
YPO0449	470426	471733	470426	471703	6	hypothetical protein YPO0449
YPO0450	471724	472446	471724	472347	1	hypothetical protein YPO0450
YPO0451	472722	475460	472722	475448	1	putative cation-transporting P-type ATPase
YPO0452	475982	477937	476018	477937	16	lytic murein transglycosylase
YPO0454	478562	479122	478562	479104	2	NTPase
YPO0455	479186	479845	479198	479845	9	phosphoglycerate mutase
YPO0456	479842	480729	479842	480708	3	putative right origin-binding protein
YPO0457	480907	481401	480934	481401	8	hypothetical protein YPO0457
YPO0458	481575	482300	481575	482291	12	two-component response regulator
YPO0459	483314	485854	483395	485854	20	bifunctional aspartokinase I/homeserine dehydrogenase I
YPO0460	485791	486786	485857	486786	3	homoserine kinase
YPO0461	486787	488079	486790	488079	21	threonine synthase
YPO0462	488896	489681	488896	489672	5	hypothetical protein YPO0462
YPO0463	490138	491157	490204	491157	35	transaldolase B
YPO0464	491436	492032	491445	492032	9	molybdenum cofactor biosynthesis protein
YPO0468	497339	499249	497339	499249	113	molecular chaperone DnaK
YPO0469	499250	500500	499361	500500	17	chaperone protein DnaJ
YPO0470	500698	501927	500743	501927	1	sodium-proton antiporter
YPO0471	502045	502956	502057	502956	2	transcriptional activator NhaR
YPO0472	503087	503371	503087	503350	20	30S ribosomal protein S20
YPO0474	503735	504703	503765	504703	7	bifunctional riboflavin kinase/FMN adenylyltransferase
YPO0475	504690	507551	504735	507551	41	isoleucyl-tRNA synthetase
YPO0476a	508047	508586	508128	508586	4	FKBP-type peptidyl-prolyl cis-trans isomerase
YPO0477	508336	509520	508567	509520	3	4-hydroxy-3-methylbut-2-enyl diphosphate reductase
YPO0480	510759	511634	510813	511634	7	dihydrodipicolinate reductase
YPO0481	512068	513282	512107	513282	22	carbamoyl phosphate synthase small subunit
YPO0482	513283	516531	513298	516531	54	carbamoyl phosphate synthase large subunit
YPO0486	519051	519581	519099	519581	5	dihydrofolate reductase
YPO0490	521688	522581	521688	522557	1	diadenosine tetraphosphatase
YPO0492	522965	523792	522965	523783	13	dimethyladenosine transferase
YPO0493	523776	524789	523776	524771	6	4-hydroxythreonine-4-phosphate dehydrogenase
YPO0494	524755	526092	524755	526059	34	peptidyl-prolyl cis-trans isomerase SurA
YPO0495	526127	528529	526127	528469	25	organic solvent tolerance protein
YPO0496	528642	529487	528654	529487	2	Dna-J like membrane chaperone protein
YPO0497	529785	530417	529785	530405	3	ribosomal large subunit pseudouridine synthase A
YPO0498	531628	532383	531628	532371	21	hypothetical protein YPO0498
YPO0499	532647	533714	532701	533714	14	hypothetical protein YPO0499
YPO0500	533725	534285	533725	534285	21	hypothetical protein YPO0500
YPO0501	534270	535796	534285	535796	48	hypothetical protein YPO0501
YPO0502	535944	536477	535959	536477	48	hypothetical protein YPO0502
YPO0504	537012	538871	537027	538871	14	hypothetical protein YPO0504
YPO0505	538810	539847	538864	539847	5	hypothetical protein YPO0505
YPO0506	539835	542453	539850	542453	69	putative Clp ATPase
YPO0507	542524	544905	542557	544905	26	hypothetical protein YPO0507
YPO0508	544906	545490	544918	545490	2	hypothetical protein YPO0508
YPO0509	545491	547137	545515	547137	4	hypothetical protein YPO0509
YPO0510	547091	548266	547163	548266	2	hypothetical protein YPO0510
YPO0511	548172	548876	548259	548876	1	hypothetical protein YPO0511
YPO0511a	548810	549247	548882	549247	1	hypothetical protein YPO0511a
YPO0513	549806	551206	549851	551206	9	hypothetical protein YPO0513
YPO0514	551173	552813	551203	552813	8	hypothetical protein YPO0514
YPO0515	552758	556315	552863	556315	7	hypothetical protein YPO0515
YPO0516	556316	556690	556337	556690	4	hypothetical protein YPO0516
YPO0517	556946	559855	556946	559852	24	ATP-dependent helicase HepA
YPO0518	560313	562691	560313	562682	1	DNA polymerase II
YPO0520	563714	564490	563714	564397	1	thiamine transporter ATP-binding subunit
YPO0522	565994	567091	565994	566986	10	thiamine transporter substrate binding subunit
YPO0530	573632	574279	573632	574234	2	isopropylmalate isomerase small subunit
YPO0531	574249	575754	574249	575679	6	isopropylmalate isomerase large subunit
YPO0532	575681	576790	575681	576772	1	3-isopropylmalate dehydrogenase
YPO0533	576775	578352	576775	578337	3	2-isopropylmalate synthase
YPO0537	581746	583557	581752	583557	1	putative AMP-binding enzyme-family protein
YPO0539	583933	585744	584017	585744	10	acetolactate synthase 3 catalytic subunit
YPO0540	585666	586241	585747	586241	3	acetolactate synthase 3 regulatory subunit
YPO0543	587394	588413	587403	588413	14	DNA-binding transcriptional regulator FruR
YPO0546	590071	590544	590086	590544	1	cell division protein MraZ
YPO0547	590520	591509	590547	591509	15	S-adenosyl-methyltransferase MraW
YPO0549	591886	593652	591889	593652	5	penicillin-binding protein 3
YPO0550	593618	595126	593654	595126	22	UDP-N-acetylmuramoylalanyl-D-glutamate--2,6-diaminopimelate ligase
YPO0551	595045	596499	595123	596499	6	UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase
YPO0552	596448	597575	596493	597575	1	phospho-N-acetylmuramoyl-pentapeptide-transferase
YPO0553	597428	598894	597578	598894	7	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate synthetase
YPO0554	598864	600096	598894	600096	1	cell division protein FtsW
YPO0555	600051	601163	600093	601163	10	undecaprenyldiphospho-muramoylpentapeptide beta-N- acetylglucosaminyltransferase
YPO0556	601214	602776	601301	602776	13	UDP-N-acetylmuramate--L-alanine ligase
YPO0557	602754	603689	602769	603689	20	D-alanine--D-alanine ligase
YPO0558	603676	604518	603691	604518	3	cell division protein FtsQ
YPO0559	604512	605801	604545	605801	10	cell division protein FtsA
YPO0560	605802	607025	605874	607025	58	cell division protein FtsZ
