yourlist:M20180720A7434721E10EE6586998A056CCD0537E950220G	isomap:M20180720A7434721E10EE6586998A056CCD0537E950220G	Entry	Entry name	Status	Protein names	Gene names	Organism	Cross-reference (RefSeq)
YPTS_0154		B2JZH8	ILVC_YERPB	reviewed	Ketol-acid reductoisomerase (NADP(+)) (KARI) (EC 1.1.1.86) (Acetohydroxy-acid isomeroreductase) (AHIR) (Alpha-keto-beta-hydroxylacyl reductoisomerase) (Ketol-acid reductoisomerase type 2) (Ketol-acid reductoisomerase type II)	ilvC YPTS_0154	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_011191486.1;
YPTS_0176		B2K045	GPPA_YERPB	reviewed	Guanosine-5'-triphosphate,3'-diphosphate pyrophosphatase (EC 3.6.1.40) (Guanosine pentaphosphate phosphohydrolase) (pppGpp-5'-phosphohydrolase)	gppA YPTS_0176	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	
YPTS_0177		B2K046	RHLB_YERPB	reviewed	ATP-dependent RNA helicase RhlB (EC 3.6.4.13)	rhlB YPTS_0177	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_002228177.1;
YPTS_0189		B2K058	WECF_YERPB	reviewed	TDP-N-acetylfucosamine:lipid II N-acetylfucosaminyltransferase (EC 2.4.1.325) (4-alpha-L-fucosyltransferase) (TDP-Fuc4NAc:lipid II Fuc4NAc transferase) (Fuc4NAc transferase)	wecF rffT YPTS_0189	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_011191503.1;
YPTS_0191		B2K060	WECG_YERPB	reviewed	UDP-N-acetyl-D-mannosaminuronic acid transferase (UDP-ManNAcA transferase) (EC 2.4.1.180)	wecG rffM YPTS_0191	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_011191504.1;
YPTS_0196		B2K065	HEM3_YERPB	reviewed	Porphobilinogen deaminase (PBG) (EC 2.5.1.61) (Hydroxymethylbilane synthase) (HMBS) (Pre-uroporphyrinogen synthase)	hemC YPTS_0196	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_011191508.1;
YPTS_0203		B2K072	DAPF_YERPB	reviewed	Diaminopimelate epimerase (DAP epimerase) (EC 5.1.1.7) (PLP-independent amino acid racemase)	dapF YPTS_0203	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_002211471.1;
YPTS_0271		B2K0Y4	UBIE_YERPB	reviewed	Ubiquinone/menaquinone biosynthesis C-methyltransferase UbiE (EC 2.1.1.163) (EC 2.1.1.201) (2-methoxy-6-polyprenyl-1,4-benzoquinol methylase) (Demethylmenaquinone methyltransferase)	ubiE YPTS_0271	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_002224024.1;
YPTS_0273		B2K0Y6	UBIB_YERPB	reviewed	Probable protein kinase UbiB (EC 2.7.-.-) (Ubiquinone biosynthesis protein UbiB)	ubiB YPTS_0273	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_002211535.1;
YPTS_0283		B2K0Z6	FADB_YERPB	reviewed	Fatty acid oxidation complex subunit alpha [Includes: Enoyl-CoA hydratase/Delta(3)-cis-Delta(2)-trans-enoyl-CoA isomerase/3-hydroxybutyryl-CoA epimerase (EC 4.2.1.17) (EC 5.1.2.3) (EC 5.3.3.8); 3-hydroxyacyl-CoA dehydrogenase (EC 1.1.1.35)]	fadB YPTS_0283	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_011191547.1;
YPTS_0284		B2K0Z7	PEPQ_YERPB	reviewed	Xaa-Pro dipeptidase (X-Pro dipeptidase) (EC 3.4.13.9) (Imidodipeptidase) (Proline dipeptidase) (Prolidase)	pepQ YPTS_0284	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_011191548.1;
YPTS_0292		B2K103	COAA_YERPB	reviewed	Pantothenate kinase (EC 2.7.1.33) (Pantothenic acid kinase)	coaA YPTS_0292	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_002212290.1;
YPTS_0299		B2K108	RL11_YERPB	reviewed	50S ribosomal protein L11	rplK YPTS_0299	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_002210672.1;
YPTS_0300		B2K109	RL1_YERPB	reviewed	50S ribosomal protein L1	rplA YPTS_0300	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_002210673.1;
YPTS_0301		B2K110	RL10_YERPB	reviewed	50S ribosomal protein L10	rplJ YPTS_0301	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_002210674.1;
YPTS_0302		B2K111	RL7_YERPB	reviewed	50S ribosomal protein L7/L12	rplL YPTS_0302	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_002210675.1;
YPTS_0304		B2K113	RPOB_YERPB	reviewed	DNA-directed RNA polymerase subunit beta (RNAP subunit beta) (EC 2.7.7.6) (RNA polymerase subunit beta) (Transcriptase subunit beta)	rpoB YPTS_0304	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_002210676.1;
YPTS_0305		B2K114	RPOC_YERPB	reviewed	DNA-directed RNA polymerase subunit beta' (RNAP subunit beta') (EC 2.7.7.6) (RNA polymerase subunit beta') (Transcriptase subunit beta')	rpoC YPTS_0305	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_002210677.1;
YPTS_0312		B2K121	RSD_YERPB	reviewed	Regulator of sigma D	rsd YPTS_0312	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_011191553.1;
YPTS_0313		B2K122	NUDC_YERPB	reviewed	NADH pyrophosphatase (EC 3.6.1.22)	nudC YPTS_0313	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_011191554.1;
YPTS_0315		B2K124	DCUP_YERPB	reviewed	Uroporphyrinogen decarboxylase (UPD) (URO-D) (EC 4.1.1.37)	hemE YPTS_0315	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_002210686.1;
YPTS_0321		B2K130	PUR9_YERPB	reviewed	Bifunctional purine biosynthesis protein PurH [Includes: Phosphoribosylaminoimidazolecarboxamide formyltransferase (EC 2.1.2.3) (AICAR transformylase); IMP cyclohydrolase (EC 3.5.4.10) (ATIC) (IMP synthase) (Inosinicase)]	purH YPTS_0321	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_011191559.1;
YPTS_0330		B2K137	ACTP_YERPB	reviewed	Cation/acetate symporter ActP (Acetate permease) (Acetate transporter ActP)	actP YPTS_0330	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_011191562.1;
YPTS_0389		B2K1U3	UBIC_YERPB	reviewed	Chorismate pyruvate-lyase (CL) (CPL) (EC 4.1.3.40)	ubiC YPTS_0389	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_002209087.1;
YPTS_0391		B2K1U5	PLSB_YERPB	reviewed	Glycerol-3-phosphate acyltransferase (GPAT) (EC 2.3.1.15)	plsB YPTS_0391	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_012413439.1;
YPTS_0393		B2K1U7	LEXA_YERPB	reviewed	LexA repressor (EC 3.4.21.88)	lexA YPTS_0393	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_002209090.1;
YPTS_0413		B2K1W7	RHAT_YERPB	reviewed	L-rhamnose-proton symporter (L-rhamnose-H(+) transport protein)	rhaT YPTS_0413	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_002209111.1;
YPTS_0426		B2K1X9	CUTA_YERPB	reviewed	Divalent-cation tolerance protein CutA	cutA YPTS_0426	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_002209122.1;
YPTS_0430		B2K1Y3	CH10_YERPB	reviewed	10 kDa chaperonin (GroES protein) (Protein Cpn10)	groS groES YPTS_0430	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_002209127.1;
YPTS_0431		B2K1Y4	CH60_YERPB	reviewed	60 kDa chaperonin (GroEL protein) (Protein Cpn60)	groL groEL YPTS_0431	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_002209128.1;
YPTS_0434		B2K1Y7	EFP_YERPB	reviewed	Elongation factor P (EF-P)	efp YPTS_0434	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_002209131.1;
YPTS_0437		B2K1Z0	FRDC_YERPB	reviewed	Fumarate reductase subunit C (Fumarate reductase 15 kDa hydrophobic protein)	frdC YPTS_0437	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_002209135.1;
YPTS_0440		B2K1Z3	EPMA_YERPB	reviewed	Elongation factor P--(R)-beta-lysine ligase (EF-P--(R)-beta-lysine ligase) (EC 6.3.1.-) (EF-P post-translational modification enzyme A) (EF-P-lysine lysyltransferase)	epmA yjeA YPTS_0440	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_002209139.1;
YPTS_0442		B2K1Z5	PSD_YERPB	reviewed	Phosphatidylserine decarboxylase proenzyme (EC 4.1.1.65) [Cleaved into: Phosphatidylserine decarboxylase alpha chain; Phosphatidylserine decarboxylase beta chain]	psd YPTS_0442	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_002209141.1;
YPTS_0443		B2K1Z6	RSGA_YERPB	reviewed	Small ribosomal subunit biogenesis GTPase RsgA (EC 3.6.1.-)	rsgA YPTS_0443	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_002209142.1;
YPTS_0451		B2K202	MUTL_YERPB	reviewed	DNA mismatch repair protein MutL	mutL YPTS_0451	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_002209148.1;
YPTS_0452		B2K203	MIAA_YERPB	reviewed	tRNA dimethylallyltransferase (EC 2.5.1.75) (Dimethylallyl diphosphate:tRNA dimethylallyltransferase) (DMAPP:tRNA dimethylallyltransferase) (DMATase) (Isopentenyl-diphosphate:tRNA isopentenyltransferase) (IPP transferase) (IPPT) (IPTase)	miaA YPTS_0452	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_002209149.1;
YPTS_0453		B2K204	HFQ_YERPB	reviewed	RNA-binding protein Hfq	hfq YPTS_0453	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_002209151.1;
YPTS_0459		B2K2K4	PURA_YERPB	reviewed	Adenylosuccinate synthetase (AMPSase) (AdSS) (EC 6.3.4.4) (IMP--aspartate ligase)	purA YPTS_0459	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_002209157.1;
YPTS_0468		B2K2L3	RS6_YERPB	reviewed	30S ribosomal protein S6	rpsF YPTS_0468	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_002210153.1;
YPTS_0470		B2K2L5	RS18_YERPB	reviewed	30S ribosomal protein S18	rpsR YPTS_0470	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_002210155.1;
YPTS_0471		B2K2L6	RL9_YERPB	reviewed	50S ribosomal protein L9	rplI YPTS_0471	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_002210156.1;
YPTS_0481		B2K2M6	MSRA_YERPB	reviewed	Peptide methionine sulfoxide reductase MsrA (Protein-methionine-S-oxide reductase) (EC 1.8.4.11) (Peptide-methionine (S)-S-oxide reductase) (Peptide Met(O) reductase)	msrA YPTS_0481	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_002210165.1;
YPTS_0486		B2K2N1	F16PA_YERPB	reviewed	Fructose-1,6-bisphosphatase class 1 (FBPase class 1) (EC 3.1.3.11) (D-fructose-1,6-bisphosphate 1-phosphohydrolase class 1)	fbp YPTS_0486	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_011191626.1;
YPTS_0489		B2K2N4	ARGR_YERPB	reviewed	Arginine repressor	argR YPTS_0489	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_002210173.1;
YPTS_0490		B2K2N5	MDH_YERPB	reviewed	Malate dehydrogenase (EC 1.1.1.37)	mdh YPTS_0490	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_002210174.1;
YPTS_0494		B2K2N9	RL21_YERPB	reviewed	50S ribosomal protein L21	rplU YPTS_0494	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_002210178.1;
YPTS_0495		B2K2P0	RL27_YERPB	reviewed	50S ribosomal protein L27	rpmA YPTS_0495	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_002210179.1;
YPTS_0497		B2K2P2	OBG_YERPB	reviewed	GTPase Obg (EC 3.6.5.-) (GTP-binding protein Obg)	obg YPTS_0497	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_002210181.1;
YPTS_0503		B2K2P8	RLME_YERPB	reviewed	Ribosomal RNA large subunit methyltransferase E (EC 2.1.1.166) (23S rRNA Um2552 methyltransferase) (rRNA (uridine-2'-O-)-methyltransferase)	rlmE ftsJ rrmJ YPTS_0503	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_002228196.1;
YPTS_0506		B2K2Q1	GLMM_YERPB	reviewed	Phosphoglucosamine mutase (EC 5.4.2.10)	glmM YPTS_0506	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_002210189.1;
YPTS_0508		B2K2Q3	RIMP_YERPB	reviewed	Ribosome maturation factor RimP	rimP YPTS_0508	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_002222054.1;
YPTS_0510		B2K2Q5	IF2_YERPB	reviewed	Translation initiation factor IF-2	infB YPTS_0510	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_002223151.1;
YPTS_0511		B2K2Q6	RBFA_YERPB	reviewed	Ribosome-binding factor A	rbfA YPTS_0511	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_002209255.1;
YPTS_0513		B2K2Q8	RS15_YERPB	reviewed	30S ribosomal protein S15	rpsO YPTS_0513	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_002209257.1;
YPTS_0514		B2K2Q9	PNP_YERPB	reviewed	Polyribonucleotide nucleotidyltransferase (EC 2.7.7.8) (Polynucleotide phosphorylase) (PNPase)	pnp YPTS_0514	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_011191631.1;
YPTS_0536		B2K2T1	Y536_YERPB	reviewed	UPF0306 protein YPTS_0536	YPTS_0536	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_011191642.1;
YPTS_0562		B2K3E9	AMPA_YERPB	reviewed	Probable cytosol aminopeptidase (EC 3.4.11.1) (Leucine aminopeptidase) (LAP) (EC 3.4.11.10) (Leucyl aminopeptidase)	pepA YPTS_0562	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_002209310.1;
YPTS_0571		B2K3F6	LSRG_YERPB	reviewed	(4S)-4-hydroxy-5-phosphonooxypentane-2,3-dione isomerase (EC 5.3.1.32) (Autoinducer 2-degrading protein LsrG) (AI-2-degrading protein LsrG) (Phospho-(S)-4,5-dihydroxy-2,3-pentanedione isomerase) (Phospho-AI-2 isomerase)	lsrG YPTS_0571	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_002209186.1;
YPTS_0572		B2K3F7	LSRF_YERPB	reviewed	3-hydroxy-5-phosphonooxypentane-2,4-dione thiolase (EC 2.3.1.245)	lsrF YPTS_0572	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_011191661.1;
YPTS_0573		B2K3F8	LSRB_YERPB	reviewed	Autoinducer 2-binding protein LsrB (AI-2-binding protein LsrB)	lsrB YPTS_0573	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_011191662.1;
YPTS_0576		B2K3G1	LSRA_YERPB	reviewed	Autoinducer 2 import ATP-binding protein LsrA (AI-2 import ATP-binding protein LsrA) (EC 3.6.3.-)	lsrA YPTS_0576	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_011191665.1;
YPTS_0578		B2K3G3	LSRK_YERPB	reviewed	Autoinducer-2 kinase (AI-2 kinase) (EC 2.7.1.189)	lsrK YPTS_0578	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_002230543.1;
YPTS_0594		B2K3H9	RSMC_YERPB	reviewed	Ribosomal RNA small subunit methyltransferase C (EC 2.1.1.172) (16S rRNA m2G1207 methyltransferase) (rRNA (guanine-N(2)-)-methyltransferase RsmC)	rsmC YPTS_0594	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_011191679.1;
YPTS_0597		B2K3I2	RF3_YERPB	reviewed	Peptide chain release factor 3 (RF-3)	prfC YPTS_0597	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_011191681.1;
YPTS_0605		B2K3J0	DEOB_YERPB	reviewed	Phosphopentomutase (EC 5.4.2.7) (Phosphodeoxyribomutase)	deoB YPTS_0605	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_011191688.1;
YPTS_0606		B2K3J1	DEOD_YERPB	reviewed	Purine nucleoside phosphorylase DeoD-type (PNP) (EC 2.4.2.1)	deoD YPTS_0606	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_011191689.1;
YPTS_0619		B2K3K4	NCPP_YERPB	reviewed	Non-canonical purine NTP phosphatase (EC 3.6.1.-) (Non-standard purine NTP phosphatase) (Nucleoside-triphosphate phosphatase) (NTPase)	YPTS_0619	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_011191695.1;
YPTS_0620		B2K3K5	GPMB_YERPB	reviewed	Probable phosphoglycerate mutase GpmB (EC 5.4.2.-) (PGAM) (Phosphoglyceromutase)	gpmB YPTS_0620	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_002209230.1;
YPTS_0627		B2K3L2	KHSE_YERPB	reviewed	Homoserine kinase (HK) (HSK) (EC 2.7.1.39)	thrB YPTS_0627	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_002209238.1;
YPTS_0629		B2K3L4	Y629_YERPB	reviewed	UPF0246 protein YPTS_0629	YPTS_0629	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_002209240.1;
YPTS_0630		B2K3L5	TAL_YERPB	reviewed	Transaldolase (EC 2.2.1.2)	tal YPTS_0630	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_011191696.1;
YPTS_0635		B2K3M0	DNAK_YERPB	reviewed	Chaperone protein DnaK (HSP70) (Heat shock 70 kDa protein) (Heat shock protein 70)	dnaK YPTS_0635	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_002209248.1;
YPTS_0636		B2K3M1	DNAJ_YERPB	reviewed	Chaperone protein DnaJ	dnaJ YPTS_0636	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_002209249.1;
YPTS_0637		B2K3M2	NHAA_YERPB	reviewed	Na(+)/H(+) antiporter NhaA (Sodium/proton antiporter NhaA)	nhaA YPTS_0637	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_011191700.1;
YPTS_0639		B2K3M4	RS20_YERPB	reviewed	30S ribosomal protein S20	rpsT YPTS_0639	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_002220715.1;
YPTS_0641		B2K3M6	SYI_YERPB	reviewed	Isoleucine--tRNA ligase (EC 6.1.1.5) (Isoleucyl-tRNA synthetase) (IleRS)	ileS YPTS_0641	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_002210509.1;
YPTS_0644		B2K3M9	ISPH_YERPB	reviewed	4-hydroxy-3-methylbut-2-enyl diphosphate reductase (HMBPP reductase) (EC 1.17.7.4)	ispH YPTS_0644	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_011191701.1;
YPTS_0646		B2K3N1	DAPB_YERPB	reviewed	4-hydroxy-tetrahydrodipicolinate reductase (HTPA reductase) (EC 1.17.1.8)	dapB YPTS_0646	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_002210504.1;
YPTS_0654		B2K485	APAH_YERPB	reviewed	Bis(5'-nucleosyl)-tetraphosphatase, symmetrical (EC 3.6.1.41) (Ap4A hydrolase) (Diadenosine 5',5'''-P1,P4-tetraphosphate pyrophosphohydrolase) (Diadenosine tetraphosphatase)	apaH YPTS_0654	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_011191708.1;
YPTS_0655		B2K486	APAG_YERPB	reviewed	Protein ApaG	apaG YPTS_0655	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_011191709.1;
