yourlist:M20180720A7434721E10EE6586998A056CCD0537E950197S	isomap:M20180720A7434721E10EE6586998A056CCD0537E950197S	Entry	Entry name	Status	Protein names	Gene names	Organism	Cross-reference (RefSeq)
YPO0013		Q8ZJS4	MOBA_YERPE	reviewed	Molybdenum cofactor guanylyltransferase (MoCo guanylyltransferase) (EC 2.7.7.77) (GTP:molybdopterin guanylyltransferase) (Mo-MPT guanylyltransferase) (Molybdopterin guanylyltransferase) (Molybdopterin-guanine dinucleotide synthase) (MGD synthase)	mobA YPO0013 y3815 YP_0014	Yersinia pestis	YP_002345109.1;
YPCD1.29c		O68698	O68698_YERPE	unreviewed	Putative Yop targeting protein (Type III secretion host injection protein) (Yop targeting protein) (YopB homolog)	yopB YPCD1.29c	Yersinia pestis	NP_395163.1;NP_857753.1;NP_857948.1;WP_002212985.1;
YPO0013a		Q7CG24	Q7CG24_YERPE	unreviewed	Uncharacterized protein	YPO0013a	Yersinia pestis	WP_002213170.1;YP_002345110.1;
YPO0014		Q7CG25	Q7CG25_YERPE	unreviewed	Stress response kinase A (EC 2.7.11.1) (Serine/threonine-protein kinase SrkA)	srkA YPO0014	Yersinia pestis	WP_002213169.1;YP_002345111.1;
YPCD1.30c		P21207	LCRH_YERPE	reviewed	Low calcium response locus protein H	lcrH sycD YPCD1.30c y5048 y0051 YP_pCD53	Yersinia pestis	NP_395164.1;NP_857752.1;NP_857947.1;WP_002222758.1;
YPO0015		Q9XBV2	DSBA_YERPE	reviewed	Thiol:disulfide interchange protein DsbA	dsbA YPO0015 y3812 YP_0017	Yersinia pestis	WP_002213168.1;YP_002345112.1;
YPCD1.31c		P0C7U7	LCRV_YERPE	reviewed	Virulence-associated V antigen (Low calcium response locus protein V)	lcrV icrV YPCD1.31c y5047 y0050 YP_pCD52	Yersinia pestis	NP_395165.1;NP_857751.1;NP_857946.1;WP_002212981.1;
YPO0017		Q7CG26	Q7CG26_YERPE	unreviewed	DNA polymerase I (EC 2.7.7.7)	polA YPO0017	Yersinia pestis	WP_002213164.1;YP_002345113.1;
YPCD1.32c		P69957	LCRG_YERPE	reviewed	Low calcium response locus protein G	lcrG YPCD1.32c y5046 y0049 YP_pCD51	Yersinia pestis	NP_395166.1;NP_857750.1;NP_857945.1;WP_002212973.1;
YPCD1.34c		P69955	LCRD_YERPE	reviewed	Low calcium response locus protein D	lcrD YPCD1.34c y5044 y0047 YP_pCD49	Yersinia pestis	NP_395168.1;NP_857748.1;NP_857943.1;WP_002212971.1;
YPCD1.36c		P61416	YSCX_YERPE	reviewed	Yop proteins translocation protein X	yscX YPCD1.36c y5042 y0045 YP_pCD47	Yersinia pestis	NP_395170.1;NP_857746.1;NP_857941.1;WP_002212969.1;
YPCD1.37c		P61380	SYCN_YERPE	reviewed	Chaperone protein SycN	sycN YPCD1.37c y5041 y0044 YP_pCD46	Yersinia pestis	NP_395171.1;NP_857745.1;NP_857940.1;WP_002229794.1;
YPO0019		Q8ZJS0	ENGB_YERPE	reviewed	Probable GTP-binding protein EngB	engB YPO0019 y3809 YP_0020	Yersinia pestis	WP_002213160.1;YP_002345115.1;
YPCD1.38c		P69968	TYEA_YERPE	reviewed	Protein TyeA	tyeA YPCD1.38c y5040 y0043 YP_pCD45	Yersinia pestis	NP_395172.1;NP_857744.1;NP_857939.1;WP_002212965.1;
YPCD1.39c		P68640	YOPN_YERPE	reviewed	Outer membrane protein YopN (LcrE) (Yop4b)	yopN lcrE YPCD1.39c y5039 y0042 YP_pCD44	Yersinia pestis	NP_395173.1;NP_857743.1;NP_857938.1;WP_002212958.1;
YPCD1.40		Q7ARI8	Q7ARI8_YERPE	unreviewed	Putative Yops secretion ATP synthase (Yops secretion ATPase YscN homolog) (Yops secretion protein)	yscN YPCD1.40	Yersinia pestis	NP_395174.1;NP_857742.1;NP_857937.1;WP_002212955.1;
YPO0020		Q8ZJR9	YIHI_YERPE	reviewed	Der GTPase-activating protein YihI	yihI YPO0020 y3808 YP_0021	Yersinia pestis	WP_002213158.1;YP_002345116.1;
YPO0021		Q0WKS1	Q0WKS1_YERPE	unreviewed	Coproporphyrinogen-III oxidase (EC 1.3.98.3)	hemN YPO0021	Yersinia pestis	WP_002213155.1;YP_002345117.1;
YPCD1.42		P68587	YSCP_YERPE	reviewed	Yop proteins translocation protein P	yscP YPCD1.42 y5036 y0039 YP_pCD41	Yersinia pestis	NP_395176.1;NP_857740.1;NP_857935.1;WP_002212950.1;
YPO0022		Q0WKS0	Q0WKS0_YERPE	unreviewed	DNA-binding transcriptional regulator NtrC (Nitrogen regulation protein NR(I))	glnG ntrC YPO0022	Yersinia pestis	WP_002213152.1;YP_002345118.1;
YPCD1.43		P42713	YSCQ_YERPE	reviewed	Yop proteins translocation protein Q	yscQ YPCD1.43 y5035 y0038 YP_pCD40	Yersinia pestis	NP_395177.1;NP_857739.1;NP_857934.1;WP_002212948.1;
YPO0023		Q0WKR9	Q0WKR9_YERPE	unreviewed	Two component regulatory protein involved in nitrogen assimilation (EC 2.7.3.-)	glnR YPO0023	Yersinia pestis	WP_002213151.1;YP_002345119.1;
YPO0024		Q74YC3	Q74YC3_YERPE	unreviewed	Glutamine synthetase (EC 6.3.1.2)	glnA YPO0024	Yersinia pestis	WP_002213150.1;YP_002345120.1;
YPMT1.31		O68749	O68749_YERPE	unreviewed	Uncharacterized protein	YPMT1.31	Yersinia pestis	NP_395369.1;NP_857668.1;WP_002214131.1;YP_093910.1;
YPMT1.32		Q7ARE1	Q7ARE1_YERPE	unreviewed	Putative lipoprotein	YPMT1.32	Yersinia pestis	NP_395370.1;WP_002211796.1;YP_093911.1;
YPMT1.33		Q9RID8	Q9RID8_YERPE	unreviewed	Putative transcriptional regulator (Repressor of phase 1 fagellin homolog)	YPMT1.33	Yersinia pestis	NP_395371.1;NP_857670.1;WP_002214134.1;
YPO0026		Q7CG28	Q7CG28_YERPE	unreviewed	Putative GTPase	bipA YPO0026	Yersinia pestis	WP_002217380.1;YP_002345122.1;
YPMT1.34		O68752	O68752_YERPE	unreviewed	Uncharacterized protein	YPMT1.34	Yersinia pestis	NP_395372.1;NP_857671.1;WP_002211799.1;YP_093913.1;
YPCD1.48		O68694	O68694_YERPE	unreviewed	Pre-lipoprotein VirG homolog (Putative Yop targeting lipoprotein) (YscC lipoprotein chaperone)	virG yscW YPCD1.48	Yersinia pestis	NP_395182.1;NP_857734.1;NP_857929.3;WP_002222527.1;
YPMT1.34A		Q7ARA4	Q7ARA4_YERPE	unreviewed	Uncharacterized protein	YPMT1.34A	Yersinia pestis	NP_395373.1;WP_002214137.1;
YPCD1.49		P28808	LCRF_YERPE	reviewed	Thermoregulatory protein LcrF	lcrF virF YPCD1.49 y5029 y0032 YP_pCD34	Yersinia pestis	NP_395183.1;NP_857733.1;NP_857928.1;WP_002212931.1;
YPO0027		Q7CG29	Q7CG29_YERPE	unreviewed	Uncharacterized protein	YPO0027	Yersinia pestis	WP_002209011.1;YP_002345123.1;
YPCD1.51		Q56973	YSCB_YERPE	reviewed	Chaperone protein YscB (Yop proteins translocation protein B)	yscB YPCD1.51 y5027 y0030 YP_pCD32	Yersinia pestis	NP_395185.1;NP_857731.1;NP_857926.1;WP_002212925.1;
YPCD1.52		Q56974	Q56974_YERPE	unreviewed	KIM5 (Putative type III secretion protein) (Type III secretion outermembrane pore forming protein) (Type III secretion protein) (Yop proteins translocation protein C homolog)	KIM5 yscC YPCD1.52	Yersinia pestis	NP_395186.1;NP_857730.1;NP_857925.1;WP_002212923.1;
YPO0028		Q8ZJR1	Y028_YERPE	reviewed	UPF0761 membrane protein YPO0028/y3801/YP_0029	YPO0028 y3801 YP_0029	Yersinia pestis	WP_002209010.1;YP_002345124.1;
YPMT1.38c		Q7ARD7	Q7ARD7_YERPE	unreviewed	Uncharacterized protein	YPMT1.38c	Yersinia pestis	NP_395377.1;WP_002214145.1;
YPCD1.53		Q56975	Q56975_YERPE	unreviewed	Putative type III secretion protein (Type III secretion protein) (Yop proteins translocation protein D homolog)	yscD YPCD1.53	Yersinia pestis	NP_395187.1;NP_857729.1;NP_857924.1;WP_002212919.1;
YPCD1.54		O68692	O68692_YERPE	unreviewed	Putative type III secretion protein (Type III secretion protein) (Yop proteins translocation protein E homolog)	yscE YPCD1.54	Yersinia pestis	NP_395188.1;NP_857728.1;NP_857923.1;WP_002212917.1;
YPCD1.55		O68691	O68691_YERPE	unreviewed	Putative type III secretion protein (Type III secretion cytoplasmic protein) (Type III secretion protein) (Yop proteins translocation protein F homolog)	yscF YPCD1.55	Yersinia pestis	NP_395189.1;NP_857727.1;NP_857922.1;WP_002212916.1;
YPCD1.56		O68690	O68690_YERPE	unreviewed	Putative type III secretion protein (Type III secretion protein) (Type III secretion spans bacterial envelope protein) (Yop proteins translocation protein G homolog)	yscG YPCD1.56	Yersinia pestis	NP_395190.1;NP_857726.1;NP_857921.1;WP_002229801.1;
YPO0032		Q7CLA6	Q7CLA6_YERPE	unreviewed	Conserved membrane protein	YPO0032	Yersinia pestis	WP_002209008.1;YP_002345128.1;
YPCD1.57		P68590	YSCH_YERPE	reviewed	Yop proteins translocation protein H (Low calcium response locus protein P)	yscH lcrP YPCD1.57 y5021 y0024 YP_pCD26	Yersinia pestis	NP_395191.1;NP_857725.1;NP_857920.1;WP_002212915.1;
YPCD1.58		P69970	YSCI_YERPE	reviewed	Yop proteins translocation protein I (Low calcium response locus protein O)	yscI lcrO YPCD1.58 y5020 y0023 YP_pCD25	Yersinia pestis	NP_395192.1;NP_857724.1;NP_857919.1;WP_002212914.1;
YPO0033		Q7CLA7	Q7CLA7_YERPE	unreviewed	Possible exported protein	YPO0033	Yersinia pestis	WP_002209007.1;YP_002345129.1;
YPCD1.59		P69972	YSCJ_YERPE	reviewed	Yop proteins translocation lipoprotein J (Lipoprotein YlpB) (Low calcium response locus protein KA)	yscJ lcrKA ylpB YPCD1.59 y5019 y0022 YP_pCD24	Yersinia pestis	NP_395193.1;NP_857723.1;NP_857918.1;WP_002212912.1;
YPMT1.42		Q7ARD6	Q7ARD6_YERPE	unreviewed	Putative lipoprotein (Putative periplasmic protein)	YPMT1.42	Yersinia pestis	NP_395382.1;WP_002213298.1;YP_093928.1;
YPCD1.61		P69976	YSCL_YERPE	reviewed	Yop proteins translocation protein L (Low calcium response locus protein KC)	yscL lcrKC YPCD1.61 y5017 y0020 YP_pCD22	Yersinia pestis	NP_395195.1;NP_857721.1;NP_857916.1;WP_010981371.1;
YPCD1.62		P69978	YSCM_YERPE	reviewed	Yop proteins translocation protein M (Low calcium response locus protein Q)	yscM lcrQ YPCD1.62 y5016 y0019 YP_pCD21	Yersinia pestis	NP_395196.1;NP_857720.1;NP_857915.1;WP_002212907.1;
YPO0035		Q7CLA8	Q7CLA8_YERPE	unreviewed	Sodium/glutamate symporter	gltC gltS YPO0035	Yersinia pestis	WP_002209005.1;YP_002345131.1;
YPMT1.44		O68759	O68759_YERPE	unreviewed	Putative replication protein A (RepA homolog) (Replication protein A)	repA YPMT1.44	Yersinia pestis	NP_395385.1;NP_857678.1;WP_002214164.1;YP_093930.1;
YPCD1.67c		O68720	O68720_YERPE	unreviewed	Targeted effector protein (Type III secretion injected virulence protein) (YopH)	yopH YPCD1.67c	Yersinia pestis	NP_395201.1;NP_857779.1;NP_857910.1;WP_002213278.1;
YPO0036		Q7CLA9	Q7CLA9_YERPE	unreviewed	ATP-dependent DNA helicase RecG (EC 3.6.4.12)	recG YPO0036	Yersinia pestis	WP_002209004.1;YP_002345132.1;
YPO0037		Q7CLB0	Q7CLB0_YERPE	unreviewed	tRNA (guanosine(18)-2'-O)-methyltransferase (EC 2.1.1.34) (tRNA [Gm18] methyltransferase)	spoU trmH YPO0037	Yersinia pestis	WP_002209003.1;YP_002345133.1;
YPMT1.48c		Q7ARD0	Q7ARD0_YERPE	unreviewed	Uncharacterized protein	YPMT1.48c	Yersinia pestis	NP_395391.1;WP_002222868.1;YP_093936.1;
YPCD1.71c		Q9RI13	Q9RI13_YERPE	unreviewed	Putative targeted effector protein	YPCD1.71c	Yersinia pestis	NP_395205.1;WP_002213287.1;
YPO0038		Q7CLB1	Q7CLB1_YERPE	unreviewed	Guanosine-3',5'-bisbis(Diphosphate) 3'-pyrophosphydrolase (EC 3.1.7.2)	spoT YPO0038	Yersinia pestis	WP_002209002.1;YP_002345134.1;
YPCD1.72c		Q9RI12	YPKA_YERPE	reviewed	Protein kinase YpkA (Protein kinase A) (EC 2.7.11.1) (Targeted effector protein kinase)	ypkA YPCD1.72c y5008 y0009 YP_pCD13	Yersinia pestis	NP_395206.1;NP_857776.1;NP_857907.1;WP_002213290.1;WP_011114033.1;
YPO0039		Q8ZJQ3	RPOZ_YERPE	reviewed	DNA-directed RNA polymerase subunit omega (RNAP omega subunit) (EC 2.7.7.6) (RNA polymerase omega subunit) (Transcriptase subunit omega)	rpoZ YPO0039 y0102 YP_0040	Yersinia pestis	WP_002209001.1;YP_002345135.1;
YPO0040		Q8ZJQ2	KGUA_YERPE	reviewed	Guanylate kinase (EC 2.7.4.8) (GMP kinase)	gmk YPO0040 y0101 YP_0041	Yersinia pestis	WP_002209000.1;YP_002345136.1;
YPCD1.73c		Q9RI11	Q9RI11_YERPE	unreviewed	Uncharacterized protein	YPCD1.73c	Yersinia pestis	NP_395207.1;WP_002229809.1;
YPMT1.54		O68768	O68768_YERPE	unreviewed	Uncharacterized protein	YPMT1.54	Yersinia pestis	NP_395399.1;NP_857687.1;WP_002213141.1;
YPO0043		Q7CLB4	Q7CLB4_YERPE	unreviewed	Uncharacterized protein	YPO0043	Yersinia pestis	WP_002208998.1;YP_002345139.1;
YPO0044		Q8ZJP8	RNPH_YERPE	reviewed	Ribonuclease PH (RNase PH) (EC 2.7.7.56) (tRNA nucleotidyltransferase)	rph YPO0044 y0097 YP_0045	Yersinia pestis	WP_002208997.1;YP_002345140.1;
YPO0045		Q8ZJP7	PYRE_YERPE	reviewed	Orotate phosphoribosyltransferase (OPRT) (OPRTase) (EC 2.4.2.10)	pyrE YPO0045 y0096 YP_0046	Yersinia pestis	WP_002208996.1;YP_002345141.1;
YPO0046		Q8ZJP6	SLMA_YERPE	reviewed	Nucleoid occlusion factor SlmA	slmA YPO0046 y0095 YP_0047	Yersinia pestis	WP_002208995.1;YP_002345142.1;
YPO0047		Q8ZJP5	DUT_YERPE	reviewed	Deoxyuridine 5'-triphosphate nucleotidohydrolase (dUTPase) (EC 3.6.1.23) (dUTP pyrophosphatase)	dut YPO0047 y0094 YP_0048	Yersinia pestis	WP_002208994.1;YP_002345143.1;
YPO0048		Q74YA6	Q74YA6_YERPE	unreviewed	Coenzyme A biosynthesis bifunctional protein CoaBC (EC 4.1.1.36) (EC 6.3.2.5) (DNA/pantothenate metabolism flavoprotein)	dfp YPO0048	Yersinia pestis	
YPO0050		Q8ZJP2	RL28_YERPE	reviewed	50S ribosomal protein L28	rpmB YPO0050 y0091.1 YP_0051	Yersinia pestis	WP_002208991.1;YP_002345146.1;
YPO0051		Q8ZJP1	RL33_YERPE	reviewed	50S ribosomal protein L33	rpmG YPO0051 y0091 YP_0052	Yersinia pestis	WP_002208990.1;YP_002345147.1;
YPO0053		Q8ZJN9	COAD_YERPE	reviewed	Phosphopantetheine adenylyltransferase (EC 2.7.7.3) (Dephospho-CoA pyrophosphorylase) (Pantetheine-phosphate adenylyltransferase) (PPAT)	coaD kdtB YPO0053 y0088 YP_0054	Yersinia pestis	WP_002208988.1;YP_002345149.1;
YPCD1.91		O68710	O68710_YERPE	unreviewed	Putative resolvase (Resolvase) (Transposon gamma-delta resolvase (Transposon TN1000) homolog)	tnpR Y0087 YPCD1.91	Yersinia pestis	NP_395220.1;NP_857768.1;NP_857973.1;WP_002213258.1;
YPO0055		Q0WKN7	Q0WKN7_YERPE	unreviewed	3-deoxy-D-manno-octulosonic-acid transferase	kdtA YPO0055	Yersinia pestis	WP_002208986.1;YP_002345151.1;
YPMT1.65		Q7ARB9	Q7ARB9_YERPE	unreviewed	Uncharacterized protein	YPMT1.65	Yersinia pestis	NP_395410.1;WP_002228776.1;YP_094013.1;
YPMT1.66c		Q7ARB8	Q7ARB8_YERPE	unreviewed	Putative DNA-binding protein	YPMT1.66c	Yersinia pestis	NP_395411.1;WP_002228775.1;YP_094012.1;
YPO0056		Q0WKN6	Q0WKN6_YERPE	unreviewed	Lipopolysaccharide heptosyltransferase-1	rfa-2 YPO0056	Yersinia pestis	WP_002208985.1;YP_002345152.1;
YPCD1.94		Q9RI05	Q9RI05_YERPE	unreviewed	Putative transposase	YPCD1.94	Yersinia pestis	NP_395223.1;
YPO0057		Q0WKN5	Q0WKN5_YERPE	unreviewed	ADP-heptose--LPS heptosyltransferase II	rfaF YPO0057	Yersinia pestis	WP_002208984.1;YP_002345153.1;
YPMT1.67c		O68788	O68788_YERPE	unreviewed	Chromosome partitioning protein ParB (ParB homolog) (Putative partitioning protein B)	YPMT1.67c	Yersinia pestis	NP_395412.1;NP_857709.1;WP_002215070.1;
YPCD1.95c		Q7BTX0	Q7BTX0_YERPE	unreviewed	Putative yopH targeting protein (Putative yopH targeting protein SycH) (YopH chaperone) (YopH chaperone SycH protein homolog)	sycH YPCD1.95c	Yersinia pestis	NP_395224.1;NP_857766.1;NP_857969.1;WP_002213267.1;
YPMT1.68c		Q9RIC6	Q9RIC6_YERPE	unreviewed	ParA homolog (Putative partitioning protein A)	YPMT1.68c	Yersinia pestis	NP_395413.1;NP_857708.1;WP_002211752.1;
YPO0058		Q8ZJN4	HLDD_YERPE	reviewed	ADP-L-glycero-D-manno-heptose-6-epimerase (EC 5.1.3.20) (ADP-L-glycero-beta-D-manno-heptose-6-epimerase) (ADP-glyceromanno-heptose 6-epimerase) (ADP-hep 6-epimerase) (AGME)	hldD htrM rfaD YPO0058 y0083 YP_0059	Yersinia pestis	WP_002208983.1;YP_002345154.1;
YPO0059		Q0WKN3	Q0WKN3_YERPE	unreviewed	2-amino-3-ketobutyrate coenzyme A ligase (AKB ligase) (EC 2.3.1.29) (Glycine acetyltransferase)	kbl YPO0059	Yersinia pestis	WP_002208982.1;YP_002345155.1;
YPMT1.68A		Q9RIC5	Q9RIC5_YERPE	unreviewed	Antitoxin	YPMT1.68A	Yersinia pestis	NP_395414.1;WP_002211753.1;
YPMT1.69		Q7ARB6	Q7ARB6_YERPE	unreviewed	Inner membrane protein	YPMT1.69	Yersinia pestis	NP_395415.1;WP_002215068.1;YP_094006.1;
YPMT1.70		Q7ARB5	Q7ARB5_YERPE	unreviewed	Putative resolvase (Putative site-specific recombinase)	YPMT1.70	Yersinia pestis	NP_395416.1;WP_002211754.1;YP_094005.1;
YPO0060		Q8ZJN2	TDH_YERPE	reviewed	L-threonine 3-dehydrogenase (TDH) (EC 1.1.1.103)	tdh YPO0060 y0080 YP_0061	Yersinia pestis	WP_002208981.1;YP_002345156.1;
YPMT1.71		Q7ARB4	Q7ARB4_YERPE	unreviewed	Putative transposase	YPMT1.71	Yersinia pestis	NP_395417.1;WP_010981374.1;YP_094004.1;
YPO0063		Q0WKN1	Q0WKN1_YERPE	unreviewed	Putative membrane protein	YPO0063	Yersinia pestis	WP_002228147.1;YP_002345157.1;
YPMT1.74		Q9RIC3	Q9RIC3_YERPE	unreviewed	Toxin	tox YPMT1.74	Yersinia pestis	NP_395420.2;NP_857705.3;WP_002353215.1;
YPO0064		Q8ZJN0	GPMI_YERPE	reviewed	2,3-bisphosphoglycerate-independent phosphoglycerate mutase (BPG-independent PGAM) (Phosphoglyceromutase) (iPGM) (EC 5.4.2.12)	gpmI YPO0064 y0077 YP_0064	Yersinia pestis	WP_002208979.1;YP_002345158.1;
YPO0065		Q7CLB7	Q7CLB7_YERPE	unreviewed	Putative membrane protein	YPO0065	Yersinia pestis	WP_002208978.1;YP_002345159.1;
YPO0066		Q7CLB8	Q7CLB8_YERPE	unreviewed	Glutaredoxin	grxC YPO0066	Yersinia pestis	WP_002208977.1;YP_002345160.1;
YPO0067		Q8ZJM7	SECB_YERPE	reviewed	Protein-export protein SecB	secB YPO0067 y0074 YP_0067	Yersinia pestis	WP_002208976.1;YP_002345161.1;
YPO0068		Q8ZJM6	GPDA_YERPE	reviewed	Glycerol-3-phosphate dehydrogenase [NAD(P)+] (EC 1.1.1.94) (NAD(P)H-dependent glycerol-3-phosphate dehydrogenase)	gpsA YPO0068 y0073 YP_0068	Yersinia pestis	WP_002208975.1;YP_002345162.1;
YPO0070		Q0WKM4	Q0WKM4_YERPE	unreviewed	Serine acetyltransferase (EC 2.3.1.30)	cysE YPO0070	Yersinia pestis	WP_002208974.1;YP_002345164.1;
YPO0071		Q74Y93	TRML_YERPE	reviewed	tRNA (cytidine(34)-2'-O)-methyltransferase (EC 2.1.1.207) (tRNA (cytidine/uridine-2'-O-)-methyltransferase TrmL)	trmL YPO0071 YP_0071	Yersinia pestis	WP_002208973.1;YP_002345165.1;
YPO0072		Q7CLC0	Q7CLC0_YERPE	unreviewed	Bifunctional regulatory protein/DNA repair protein (EC 2.1.1.63)	YPO0072	Yersinia pestis	WP_002208972.1;YP_002345166.1;
YPMT1.81c		P26950	CAF1R_YERPE	reviewed	F1 operon positive regulatory protein	caf1R YPMT1.81c Y1097 YP_pMT085	Yersinia pestis	NP_395427.1;NP_857695.1;WP_002211761.1;
YPO0073		Q7CLC1	Q7CLC1_YERPE	unreviewed	Two component sensor kinase (EC 2.7.3.-)	cpxA YPO0073	Yersinia pestis	WP_002208971.1;YP_002345167.1;
YPMT1.82		P26926	CAF1M_YERPE	reviewed	Chaperone protein caf1M (Capsule protein fraction 1)	caf1M YPMT1.82 Y1098 YP_pMT084	Yersinia pestis	NP_395428.1;NP_857694.1;WP_002211762.1;
YPMT1.83		P26949	CAF1A_YERPE	reviewed	F1 capsule-anchoring protein	caf1A YPMT1.83 Y1099 YP_pMT083	Yersinia pestis	NP_395429.1;NP_857693.1;WP_002211763.1;YP_093953.1;
YPO0074		Q0WKM0	Q0WKM0_YERPE	unreviewed	Two component system response regulatory protein	cpxR YPO0074	Yersinia pestis	WP_002208970.1;YP_002345168.1;
YPO0075		Q7CLC2	Q7CLC2_YERPE	unreviewed	Putative exported protein	cpxP YPO0075	Yersinia pestis	WP_002208969.1;YP_002345169.1;
YPMT1.84		P26948	CAF1_YERPE	reviewed	F1 capsule antigen	caf1 YPMT1.84 Y1100 YP_pMT082	Yersinia pestis	NP_395430.1;NP_857692.1;WP_002216410.1;
YPO0077		Q8ZJL7	FIEF_YERPE	reviewed	Cation-efflux pump FieF	fieF YPO0077 y0060 YP_0079	Yersinia pestis	WP_002208967.1;YP_002345171.1;
YPO0078		Q8ZJL6	PFKA_YERPE	reviewed	ATP-dependent 6-phosphofructokinase (ATP-PFK) (Phosphofructokinase) (EC 2.7.1.11) (Phosphohexokinase)	pfkA YPO0078 y0059 YP_0080	Yersinia pestis	WP_002208966.1;YP_002345172.1;
YPMT1.86c		Q7ARA8	Q7ARA8_YERPE	unreviewed	Uncharacterized protein	YPMT1.86c	Yersinia pestis	NP_395432.1;WP_002228802.1;
YPO0084		Q0WKL0	Q0WKL0_YERPE	unreviewed	Possible transcriptional regulator	YPO0084	Yersinia pestis	YP_002345178.1;
YPO0085		Q8ZJK9	TPIS_YERPE	reviewed	Triosephosphate isomerase (TIM) (TPI) (EC 5.3.1.1) (Triose-phosphate isomerase)	tpiA YPO0085 y0052 YP_0089	Yersinia pestis	WP_002208959.1;YP_002345179.1;
YPO0086		Q74Y77	Q74Y77_YERPE	unreviewed	Putative exported protein	YPO0086	Yersinia pestis	WP_002215864.1;YP_002345180.1;
YPO0088		Q7CLC7	Q7CLC7_YERPE	unreviewed	Ferredoxin--NADP reductase (EC 1.18.1.2)	fpr YPO0088	Yersinia pestis	WP_002208956.1;YP_002345182.1;
