locusId	accession	GI	scaffoldId	start	stop	strand	sysName	name	desc	COG	COGFun	COGDesc	TIGRFam	TIGRRoles	GO	EC	ECDesc
2201025			108	12292	13763	+	YPOr01	16S_rRNA	16S ribosomal RNA (NCBI)								
5922241			108	13944	14019	+	YPt_01	YPt_01	tRNA-Glu (RefSeq)								
407417			108	14272	17178	+	YPOr02	23S_rRNA	23S ribosomal RNA (NCBI)								
2201026			108	17178	17411	+	YPOr03	5S_rRNA	5S ribosomal RNA (NCBI)								
143512	NP_403677.1	16120364	108	17906	19114	+	YPO0011	y1062	transposase for the IS285 insertion element (NCBI ptt file)	COG3328	L	Transposase and inactivated derivatives			GO:0006313,GO:0003677,GO:0004803		
143513	NP_403678.1	16120365	108	19702	19172	-	YPO0012	mobB	probable molybdopterin-guanine dinucleotide biosynthesis protein B (NCBI ptt file)	COG1763	H	Molybdopterin-guanine dinucleotide biosynthesis protein	TIGR00176 molybdopterin-guanine dinucleotide biosynthesis protein B [mobB]	Biosynthesis of cofactors, prosthetic groups, and carriers:Molybdopterin	GO:0006777,GO:0005525		
143514	NP_403679.1	16120366	108	20343	19702	-	YPO0013	mobA	molybdopterin-guanine dinucleotide biosynthesis protein A (NCBI ptt file)	COG746	H	Molybdopterin-guanine dinucleotide biosynthesis protein A	TIGR02665 molybdopterin-guanine dinucleotide biosynthesis protein A [mobA]	Biosynthesis of cofactors, prosthetic groups, and carriers:Molybdopterin	GO:0006777,GO:0003824		
143515	NP_403680.1	16120367	108	20443	20712	+	YPO0013a	YPO0013a	conserved hypothetical protein (NCBI ptt file)	COG3084	S	Uncharacterized protein conserved in bacteria					
143516	NP_403681.1	16120368	108	20792	21778	+	YPO0014	YPO0014	conserved hypothetical protein (NCBI ptt file)	COG2334	R	Putative homoserine kinase type II (protein kinase fold)					
143517	NP_403682.1	16120369	108	21806	22429	+	YPO0015	dsbA	secreted thiol:disulfide interchange protein DsbA (NCBI ptt file)						GO:0045454,GO:0030288,GO:0015035		
143518	NP_403683.1	16120370	108	22921	25719	+	YPO0017	polA	DNA polymerase I (NCBI ptt file)	COG749	L	DNA polymerase I - 3'-5' exonuclease and polymerase domains	TIGR00593 DNA polymerase I [polA]	DNA metabolism:DNA replication, recombination, and repair	GO:0006260,GO:0005634,GO:0003677,GO:0003893,GO:0016000,GO:0016451,GO:0003889,GO:0003894,GO:0008408,GO:0016448,GO:0016452,GO:0003890,GO:0003895,GO:0008409,GO:0016449,GO:0019984,GO:0003891,GO:0015999,GO:0016450,GO:0043565	2.7.7.7	DNA-directed DNA polymerase.
2201027			108	25879	25982	+	YPOs01	spf									
143519	NP_403684.1	16120371	108	26128	26586	+	YPO0018	tnp	transposase for the IS1541 insertion element (NCBI ptt file)	COG1943	L	Transposase and inactivated derivatives			GO:0006313,GO:0003677,GO:0004803		
143520	NP_403685.1	16120372	108	27488	26838	-	YPO0019	YPO0019	conserved hypothetical protein (NCBI ptt file)	COG218	R	Predicted GTPase	TIGR03598 ribosome biogenesis GTP-binding protein YsxC [ysxC]	Protein synthesis:Other	GO:0015684,GO:0005622,GO:0016021,GO:0009276,GO:0005525,GO:0015093		
143521	NP_403686.1	16120373	108	28233	28799	+	YPO0020	YPO0020	conserved hypothetical protein (NCBI ptt file)	COG3078	S	Uncharacterized protein conserved in bacteria					
143522	NP_403687.1	16120374	108	28982	30355	+	YPO0021	hemN	oxygen-independent coproporphyrinogen III oxidase (NCBI ptt file)	COG635	H	Coproporphyrinogen III oxidase and related Fe-S oxidoreductases	TIGR00538 oxygen-independent coproporphyrinogen III oxidase [hemN]	Biosynthesis of cofactors, prosthetic groups, and carriers:Heme, porphyrin, and cobalamin	GO:0006779,GO:0005737,GO:0004109,GO:0051989,GO:0051536	1.3.99.22	Coproporphyrinogen dehydrogenase.
143523	NP_403688.1	16120375	108	31821	30409	-	YPO0022	ntrC	nitrogen regulation protein (NCBI ptt file)	COG2204	T	Response regulator containing CheY-like receiver, AAA-type ATPase, and DNA-binding domains	TIGR01818 nitrogen regulation protein NR(I) [ntrC]	Signal transduction:Two-component systems	GO:0000160,GO:0006355,GO:0050906,GO:0009399,GO:0005622,GO:0000156,GO:0017111,GO:0003700,GO:0008134,GO:0005524		
143524	NP_403689.1	16120376	108	32878	31829	-	YPO0023	ntrB	Two component regulatory protein involved in nitrogen assimilation (NCBI ptt file)	COG3852	T	Signal transduction histidine kinase, nitrogen specific			GO:0018106,GO:0006355,GO:0007165,GO:0016020,GO:0000155,GO:0005524	2.7.13.3	Histidine kinase.
143525	NP_403690.1	16120377	108	34540	33131	-	YPO0024	glnA	glutamine synthetase (NCBI ptt file)	COG174	E	Glutamine synthetase	TIGR00653 glutamine synthetase, type I [glnA]	Amino acid biosynthesis:Glutamate family	GO:0006542,GO:0009399,GO:0005737,GO:0004356	6.3.1.2	Glutamate--ammonia ligase.
143526	NP_403691.1	16120378	108	34884	34726	-	YPO0025	YPO0025	possible membrane protein (NCBI ptt file)								
143527	NP_403692.1	16120379	108	35102	36925	+	YPO0026	bipA	putative GTPase (NCBI ptt file)	COG1217	T	Predicted membrane GTPase involved in stress response	TIGR00231 small GTP-binding protein domain,TIGR01394 GTP-binding protein TypA/BipA [typA]	Protein synthesis:Translation factors	GO:0005622,GO:0003924,GO:0005525		
143528	NP_403693.1	16120380	108	37247	37837	+	YPO0027	YPO0027	conserved hypothetical protein (NCBI ptt file)	COG1011	R	Predicted hydrolase (HAD superfamily)	TIGR01509 HAD hydrolase, family IA, variant 3	Unknown function:Enzymes of unknown specificity	GO:0008152,GO:0003824		
143529	NP_403694.1	16120381	108	37934	38818	+	YPO0028	rbn	ribonuclease BN (NCBI ptt file)	COG1295	S	Predicted membrane protein	TIGR00765 YihY family protein [yihY]	Unknown function:General	GO:0004540	3.1.-.-	
143530	NP_403695.1	16120382	108	38825	39262	+	YPO0029	YPO0029	conserved hypothetical protein (NCBI ptt file)	COG1490	J	D-Tyr-tRNAtyr deacylase	TIGR00256 D-tyrosyl-tRNA(Tyr) deacylase [dtd]	Protein synthesis:tRNA aminoacylation	GO:0019478,GO:0005737,GO:0016788	3.1.-.-	
143531	NP_403696.1	16120383	108	40118	39336	-	YPO0030	YPO0030	insertion sequence IS100, ATP-binding protein (NCBI ptt file)	COG1484	L	DNA replication protein			GO:0005524,GO:0017111		
143532	NP_403697.1	16120384	108	41137	40115	-	YPO0031	YPO0031	transposase for insertion sequence IS100 (NCBI ptt file)	COG4584	L	Transposase and inactivated derivatives			GO:0006310,GO:0015074,GO:0000150,GO:0003677		
143533	NP_403698.1	16120385	108	41407	42330	+	YPO0032	YPO0032	conserved membrane protein (NCBI ptt file)	COG2153	R	Predicted acyltransferase	TIGR02447 putative thioesterase domain		GO:0008152,GO:0008080		
143534	NP_403699.1	16120386	108	44174	42465	-	YPO0033	YPO0033	possible exported protein (NCBI ptt file)								
143535	NP_403700.1	16120387	108	45707	44322	-	YPO0034	YPO0034	putative membrane permease (NCBI ptt file)	COG2233	F	Xanthine/uracil permeases	TIGR00801 uracil-xanthine permease,TIGR03173 xanthine permease [pbuX]	Transport and binding proteins:Nucleosides, purines and pyrimidines	GO:0006810,GO:0016020,GO:0005215		
143536	NP_403701.1	16120388	108	45945	47159	+	YPO0035	gltS	sodium/glutamate symport carrier protein (NCBI ptt file)	COG786	E	Na+/glutamate symporter	TIGR00210 sodium/glutamate symporter [gltS]	Transport and binding proteins:Amino acids, peptides and amines	GO:0015813,GO:0016021,GO:0015501		
143537	NP_403702.1	16120389	108	49606	47525	-	YPO0036	recG	ATP-dependent DNA helicase (NCBI ptt file)	COG1200	LK	RecG-like helicase	TIGR00643 ATP-dependent DNA helicase RecG [recG]	DNA metabolism:DNA replication, recombination, and repair	GO:0006281,GO:0006310,GO:0003676,GO:0003677,GO:0004003,GO:0005524	3.6.1.-	
143538	NP_403703.1	16120390	108	50299	49607	-	YPO0037	trmH	tRNA (guanosine-2'-O-)-methyltransferase (NCBI ptt file)	COG566	J	rRNA methylases			GO:0006396,GO:0003723,GO:0009020	2.1.1.34	tRNA guanosine-2'-O-methyltransferase.
143539	NP_403704.1	16120391	108	52413	50305	-	YPO0038	spoT	guanosine-3',5'-bisbis(diphosphate) 3'-pyrophosphydrolase (NCBI ptt file)	COG317	TK	Guanosine polyphosphate pyrophosphohydrolases/synthetases	TIGR00691 RelA/SpoT family protein	Cellular processes:Adaptations to atypical conditions	GO:0015969,GO:0008728,GO:0008893	3.1.7.2,2.7.6.5	Guanosine-3',5'-bis(diphosphate) 3'-diphosphatase.,GTP diphosphokinase.
143540	NP_403705.1	16120392	108	52708	52433	-	YPO0039	rpoZ	DNA-directed RNA polymerase, omega chain (NCBI ptt file)	COG1758	K	DNA-directed RNA polymerase, subunit K/omega	TIGR00690 DNA-directed RNA polymerase, omega subunit [rpoZ]	Transcription:DNA-dependent RNA polymerase	GO:0006351,GO:0003677,GO:0003902,GO:0003899,GO:0003900,GO:0003901	2.7.7.6	DNA-directed RNA polymerase.
143541	NP_403706.1	16120393	108	53386	52763	-	YPO0040	gmk	guanylate kinase (NCBI ptt file)	COG194	F	Guanylate kinase	TIGR03263 guanylate kinase [gmk]	Purines, pyrimidines, nucleosides, and nucleotides:Nucleotide and nucleoside interconversions	GO:0004384,GO:0004385	2.7.4.8	Guanylate kinase.
143542	NP_403707.1	16120394	108	53787	55490	+	YPO0041	YPO0041	putative DNA ligase (NCBI ptt file)	COG272	L	NAD-dependent DNA ligase (contains BRCT domain type II)			GO:0006260,GO:0006281,GO:0003911,GO:0043565	6.5.1.2	DNA ligase (NAD(+)).
143543	NP_403708.1	16120395	108	56126	55503	-	YPO0042	YPO0042	putative membrane protein (NCBI ptt file)	COG2860	S	Predicted membrane protein					
143544	NP_403709.1	16120396	108	57392	56529	-	YPO0043	YPO0043	conserved hypothetical protein (NCBI ptt file)	COG1561	S	Uncharacterized stress-induced protein	TIGR00255 TIGR00255 family protein	Hypothetical proteins:Conserved			
143545	NP_403710.1	16120397	108	57519	58235	+	YPO0044	rph	ribonuclease PH (NCBI ptt file)	COG689	J	RNase PH	TIGR01966 ribonuclease PH [rph]	Transcription:RNA processing	GO:0008033,GO:0000049,GO:0009022,GO:0000175,GO:0004549	2.7.7.56	tRNA nucleotidyltransferase.
143546	NP_403711.1	16120398	108	58402	59049	+	YPO0045	pyrE	orotate phosphoribosyltransferase (NCBI ptt file)	COG461	F	Orotate phosphoribosyltransferase	TIGR00336 orotate phosphoribosyltransferase [pyrE]	Purines, pyrimidines, nucleosides, and nucleotides:Pyrimidine ribonucleotide biosynthesis	GO:0006221,GO:0009116,GO:0004588	2.4.2.10	Orotate phosphoribosyltransferase.
143547	NP_403712.1	16120399	108	59780	59184	-	YPO0046	ttk	TetR-family regulatory protein (NCBI ptt file)	COG1309	K	Transcriptional regulator			GO:0006355,GO:0016481,GO:0003700,GO:0016566		
143548	NP_403713.1	16120400	108	60357	59902	-	YPO0047	dut	deoxyuridine 5'-triphosphate nucleotidohydrolase (NCBI ptt file)	COG756	F	dUTPase	TIGR00576 dUTP diphosphatase [dut]	Purines, pyrimidines, nucleosides, and nucleotides:2'-Deoxyribonucleotide metabolism	GO:0046080,GO:0004170	3.6.1.23	dUTP diphosphatase.
143549	NP_403714.2	161486896	108	61552	60338	-	YPO0048	dfp	bifunctional phosphopantothenoylcysteine decarboxylase/phosphopantothenate synthase (RefSeq)	COG452	H	Phosphopantothenoylcysteine synthetase/decarboxylase	TIGR00521 phosphopantothenoylcysteine decarboxylase/phosphopantothenate--cysteine ligase [coaBC]	Biosynthesis of cofactors, prosthetic groups, and carriers:Pantothenate and coenzyme A	GO:0004632,GO:0004633	4.1.1.36,6.3.2.5	Phosphopantothenoylcysteine decarboxylase.,Phosphopantothenate--cysteine ligase.
143550	NP_403715.1	16120402	108	61749	62417	+	YPO0049	radC	putative DNA repair protein (NCBI ptt file)	COG2003	L	DNA repair proteins	TIGR00608 DNA repair protein RadC	DNA metabolism:DNA replication, recombination, and repair	GO:0006281		
143551	NP_403716.1	16120403	108	62680	62916	+	YPO0050	rpmB	50S ribosomal protein L28 (NCBI ptt file)	COG227	J	Ribosomal protein L28	TIGR00009 ribosomal protein L28 [rpmB]	Protein synthesis:Ribosomal proteins: synthesis and modification	GO:0006412,GO:0005840,GO:0003735		
143552	NP_403717.1	16120404	108	62928	63095	+	YPO0051	rpmG	50S ribosomal protein L33 (NCBI ptt file)	COG267	J	Ribosomal protein L33	TIGR01023 ribosomal protein L33 [rpmG]	Protein synthesis:Ribosomal proteins: synthesis and modification	GO:0006412,GO:0005840,GO:0003735		
143553	NP_403718.1	16120405	108	63178	63987	+	YPO0052	mutM	formamidopyrimidine-DNA glycosylase (NCBI ptt file)	COG266	L	Formamidopyrimidine-DNA glycosylase	TIGR00577 formamidopyrimidine-DNA glycosylase [mutM]	DNA metabolism:DNA replication, recombination, and repair	GO:0006284,GO:0006289,GO:0003684,GO:0008534,GO:0008270	3.2.2.23,4.2.99.18	DNA-formamidopyrimidine glycosylase.,DNA-(apurinic or apyrimidinic site) lyase.
143554	NP_403719.1	16120406	108	64472	63993	-	YPO0053	coaD	phosphopantetheine adenylyltransferase (NCBI ptt file)	COG669	H	Phosphopantetheine adenylyltransferase	TIGR00125 cytidyltransferase-related domain,TIGR01510 pantetheine-phosphate adenylyltransferase [coaD]	Biosynthesis of cofactors, prosthetic groups, and carriers:Pantothenate and coenzyme A	GO:0015937,GO:0004595	2.7.7.3	Pantetheine-phosphate adenylyltransferase.
143555	NP_403720.1	16120407	108	65251	64469	-	YPO0054	kdtX	lipopolysaccharide core biosynthesis glycosyl transferase (NCBI ptt file)	COG463	M	Glycosyltransferases involved in cell wall biogenesis				2.4.1.-,2.-.-.-	,
143556	NP_403721.1	16120408	108	66529	65252	-	YPO0055	kdtA	3-deoxy-D-manno-octulosonic-acid transferase (NCBI ptt file)	COG1519	M	3-deoxy-D-manno-octulosonic-acid transferase			GO:0005975,GO:0009058,GO:0005529,GO:0016740	2.-.-.-	
143557	NP_403722.1	16120409	108	67914	66949	-	YPO0056	rfaC	lipopolysaccharide heptosyltransferase-1 (NCBI ptt file)	COG859	M	ADP-heptose:LPS heptosyltransferase	TIGR02193 lipopolysaccharide heptosyltransferase I [rfaC]	Cell envelope:Biosynthesis and degradation of surface polysaccharides and lipopolysaccharides	GO:0009103,GO:0016757	2.4.-.-	
143558	NP_403723.1	16120410	108	68978	67914	-	YPO0057	rfaF	ADP-heptose--LPS heptosyltransferase II (NCBI ptt file)	COG859	M	ADP-heptose:LPS heptosyltransferase	TIGR02195 lipopolysaccharide heptosyltransferase II [rfaF]	Cell envelope:Biosynthesis and degradation of surface polysaccharides and lipopolysaccharides	GO:0009103,GO:0016757	2.4.-.-	
143559	NP_403724.1	16120411	108	69941	69009	-	YPO0058	rfaD	ADP-L-glycero-D-manno-heptose-6-epimerase (NCBI ptt file)	COG451	MG	Nucleoside-diphosphate-sugar epimerases	TIGR02197 ADP-glyceromanno-heptose 6-epimerase [rfaD]	Cell envelope:Biosynthesis and degradation of surface polysaccharides and lipopolysaccharides	GO:0005975,GO:0044237,GO:0008712,GO:0050661	5.1.3.20	ADP-glyceromanno-heptose 6-epimerase.
143560	NP_403725.1	16120412	108	70187	71398	+	YPO0059	kbl	2-amino-3-ketobutyrate coenzyme A ligase (NCBI ptt file)	COG156	H	7-keto-8-aminopelargonate synthetase and related enzymes	TIGR01822 2-amino-3-ketobutyrate coenzyme A ligase [kbl]	Energy metabolism:Amino acids and amines	GO:0009058,GO:0008890,GO:0016769,GO:0030170	2.3.1.29	Glycine C-acetyltransferase.
143561	NP_403726.1	16120413	108	71408	72433	+	YPO0060	tdh	threonine 3-dehydrogenase (NCBI ptt file)	COG1063	ER	Threonine dehydrogenase and related Zn-dependent dehydrogenases	TIGR00692 L-threonine 3-dehydrogenase [tdh]	Energy metabolism:Amino acids and amines	GO:0006567,GO:0008270,GO:0008743	1.1.1.103	L-threonine 3-dehydrogenase.
2201028			108	73370	72571	-	YPO0061	YPO0061									
143562	YP_002345157.1	218927282	108	74881	73529	-	YPO0063	YPO0063	hypothetical protein (RefSeq)	COG4942	D	Membrane-bound metallopeptidase			GO:0006508,GO:0004222		
143563	NP_403728.1	16120415	108	76456	74909	-	YPO0064	YPO0064	2,3-bisphosphoglycerate-independent phosphoglycerate mutase (NCBI ptt file)	COG696	G	Phosphoglyceromutase	TIGR01307 2,3-bisphosphoglycerate-independent phosphoglycerate mutase [gpmI]	Energy metabolism:Glycolysis/gluconeogenesis	GO:0006007,GO:0005737,GO:0046538,GO:0030145,GO:0046537	5.4.2.1	Phosphoglycerate mutase.
143564	NP_403729.1	16120416	108	76853	77287	+	YPO0065	YPO0065	putative membrane protein (NCBI ptt file)	COG607	P	Rhodanese-related sulfurtransferase					
143565	NP_403730.1	16120417	108	77406	77654	+	YPO0066	grxC	glutaredoxin (NCBI ptt file)	COG695	O	Glutaredoxin and related proteins	TIGR02181 glutaredoxin 3 [grxC]	Energy metabolism:Electron transport	GO:0006118,GO:0045454,GO:0009055,GO:0015035		
143566	NP_403731.1	16120418	108	77742	78218	+	YPO0067	secB	protein-export protein (NCBI ptt file)	COG1952	U	Preprotein translocase subunit SecB	TIGR00809 protein-export chaperone SecB [secB]	Protein fate:Protein and peptide secretion and trafficking	GO:0015031,GO:0051262,GO:0051082		
143567	NP_403732.1	16120419	108	78218	79237	+	YPO0068	gpsA	glycerol-3-phosphate dehydrogenase (NCBI ptt file)	COG240	C	Glycerol-3-phosphate dehydrogenase			GO:0005975,GO:0046168,GO:0009331,GO:0004367,GO:0047952,GO:0051287	1.1.1.94	Glycerol-3-phosphate dehydrogenase (NAD(P)(+)).
143568	NP_403733.1	16120420	108	79297	79437	+	YPO0069	YPO0069	hypothetical protein (NCBI ptt file)								
143569	NP_403734.1	16120421	108	79503	80324	+	YPO0070	cysE	serine acetyltransferase (NCBI ptt file)	COG1045	E	Serine acetyltransferase	TIGR01172 serine O-acetyltransferase [cysE]	Amino acid biosynthesis:Serine family	GO:0006535,GO:0005737,GO:0009001	2.3.1.30	Serine O-acetyltransferase.
143570	NP_403735.1	16120422	108	80935	80447	-	YPO0071	YPO0071	putative methyltransferase (NCBI ptt file)	COG219	J	Predicted rRNA methylase (SpoU class)	TIGR00185 RNA methyltransferase, TrmH family, group 2	Protein synthesis:tRNA and rRNA base modification	GO:0006396,GO:0009451,GO:0003723,GO:0008173	2.1.1.-	
143571	NP_403736.1	16120423	108	81124	82188	+	YPO0072	YPO0072	bifunctional regulatory protein/DNA repair protein (NCBI ptt file)	COG2169	F	Adenosine deaminase	TIGR00589 methylated-DNA-[protein]-cysteine S-methyltransferase	DNA metabolism:DNA replication, recombination, and repair	GO:0006281,GO:0006355,GO:0005622,GO:0003677,GO:0003700,GO:0003908,GO:0008270,GO:0043565	2.1.1.63	Methylated-DNA--[protein]-cysteine S-methyltransferase.
143572	NP_403737.1	16120424	108	83613	82237	-	YPO0073	cpxA	two component sensor kinase (NCBI ptt file)	COG642	T	Signal transduction histidine kinase			GO:0018106,GO:0007165,GO:0016020,GO:0000155,GO:0005524	2.7.13.3	Histidine kinase.
143573	NP_403738.1	16120425	108	84308	83610	-	YPO0074	cpxR	two component system response regulatory protein (NCBI ptt file)	COG745	TK	Response regulators consisting of a CheY-like receiver domain and a winged-helix DNA-binding domain			GO:0000160,GO:0006355,GO:0000156,GO:0003677		
143574	NP_403739.1	16120426	108	84482	84970	+	YPO0075	cpxP	putative exported protein (NCBI ptt file)	COG3678	UNTP	P pilus assembly/Cpx signaling pathway, periplasmic inhibitor/zinc-resistance associated protein					
143575	NP_403740.1	16120427	108	85648	86607	+	YPO0076	YPO0076	conserved hypothetical protein (NCBI ptt file)	COG5464	S	Uncharacterized conserved protein	TIGR01784 conserved hypothetical protein				
143576	NP_403741.1	16120428	108	87169	88071	+	YPO0077	YPO0077	putative integral membrane protein (NCBI ptt file)	COG53	P	Predicted Co/Zn/Cd cation transporters	TIGR01297 cation diffusion facilitator family transporter	Transport and binding proteins:Cations and iron carrying compounds	GO:0006812,GO:0016020,GO:0008324		
143577	NP_403742.1	16120429	108	88289	89272	+	YPO0078	pfkA	6-phosphofructokinase (NCBI ptt file)	COG205	G	6-phosphofructokinase	TIGR02482 6-phosphofructokinase [pfkA]	Energy metabolism:Glycolysis/gluconeogenesis	GO:0006096,GO:0006002,GO:0005945,GO:0003872,GO:0005524	2.7.1.11	6-phosphofructokinase.
143578	NP_403743.1	16120430	108	89493	90482	+	YPO0079	sbp1	exported sulfate-binding protein (NCBI ptt file)	COG1613	P	ABC-type sulfate transport system, periplasmic component	TIGR00971 sulfate ABC transporter, sulfate-binding protein	Transport and binding proteins:Anions	GO:0008272,GO:0030288,GO:0008271,GO:0015419		
143579	NP_403744.1	16120431	108	91550	90732	-	YPO0080	YPO0080	hypothetical protein (NCBI ptt file)	COG725	P	ABC-type molybdate transport system, periplasmic component			GO:0006810,GO:0005215		
143580	NP_403745.1	16120432	108	93053	91626	-	YPO0081	YPO0081	putative membrane transport protein (NCBI ptt file)	COG471	P	Di- and tricarboxylate transporters	TIGR00785 transporter, divalent anion:Na+ symporter (DASS) family	Transport and binding proteins:Cations and iron carrying compounds	GO:0006814,GO:0016020,GO:0005215		
143581	NP_403746.1	16120433	108	93832	93119	-	YPO0082	YPO0082	possible transferase (NCBI ptt file)	COG684	H	Demethylmenaquinone methyltransferase	TIGR02798 4-carboxy-4-hydroxy-2-oxoadipate aldolase/oxaloacetate decarboxylase [ligK]		GO:0008948	4.1.1.3	Oxaloacetate decarboxylase.
143582	NP_403747.1	16120434	108	94761	93829	-	YPO0083	YPO0083	hypothetical protein (NCBI ptt file)	COG2120	S	Uncharacterized proteins, LmbE homologs					
143583	NP_403748.1	16120435	108	94892	95938	+	YPO0084	YPO0084	possible transcriptional regulator (NCBI ptt file)	COG583	K	Transcriptional regulator					
143584	NP_403749.1	16120436	108	96937	96170	-	YPO0085	tpiA	triosephosphate isomerase (NCBI ptt file)	COG149	G	Triosephosphate isomerase	TIGR00419 triose-phosphate isomerase [tpiA]	Energy metabolism:Glycolysis/gluconeogenesis	GO:0008152,GO:0004807	5.3.1.1	Triose-phosphate isomerase.
143585	NP_403750.1	16120437	108	97701	97066	-	YPO0086	YPO0086	putative exported protein (NCBI ptt file)								
143586	NP_403751.1	16120438	108	97849	98283	+	YPO0087	YPO0087	conserved membrane protein (NCBI ptt file)	COG3152	S	Predicted membrane protein			GO:0016021		
143587	NP_403752.1	16120439	108	99370	98624	-	YPO0088	fpr	ferredoxin--NADP reductase (NCBI ptt file)	COG1018	C	Flavodoxin reductases (ferredoxin-NADPH reductases) family 1			GO:0006118,GO:0004324,GO:0015039	1.18.1.2	Ferredoxin--NADP(+) reductase.
2201029			108	100193	99525	-	YPO0089	'glpX									
2201030			108	101355	100264	-	YPO0090	glpK'									
143588	NP_403753.1	16120440	108	102380	101532	-	YPO0091	glpF	glycerol uptake facilitator protein (NCBI ptt file)	COG580	G	Glycerol uptake facilitator and related permeases (Major Intrinsic Protein Family)	TIGR00861 MIP family channel proteins	Transport and binding proteins:Unknown substrate	GO:0006810,GO:0016021,GO:0005215		
143589	NP_403754.1	16120441	108	102629	102390	-	YPO0092	YPO0092	hypothetical protein (NCBI ptt file)								
143590	NP_403755.1	16120442	108	103008	103247	+	YPO0093	YPO0093	conserved hypothetical protein (NCBI ptt file)	COG3074	S	Uncharacterized protein conserved in bacteria			GO:0006310,GO:0006302,GO:0005634,GO:0003677,GO:0005515		
143591	NP_403756.1	16120443	108	103913	103455	-	YPO0094	tnp	transposase for the IS1541 insertion element (NCBI ptt file)	COG1943	L	Transposase and inactivated derivatives			GO:0006313,GO:0003677,GO:0004803		
2201031			108	108365	104291	-	YPO0098	YPO0098									
143592	NP_403757.1	16120444	108	106427	105645	-	YPO0096	YPO0096	insertion sequence IS100, ATP-binding protein (NCBI ptt file)	COG1484	L	DNA replication protein			GO:0005524,GO:0017111		
143593	NP_403758.1	16120445	108	107446	106424	-	YPO0097	YPO0097	transposase for insertion sequence IS100 (NCBI ptt file)	COG4584	L	Transposase and inactivated derivatives			GO:0006310,GO:0015074,GO:0000150,GO:0003677		
143594	NP_403759.1	16120446	108	109593	108358	-	YPO0099	YPO0099	putative exported protein (NCBI ptt file)	COG1566	V	Multidrug resistance efflux pump			GO:0009306,GO:0016020,GO:0008565		
143595	NP_403760.1	16120447	108	109863	110102	+	YPO0100	YPO0100	hypothetical protein (NCBI ptt file)								
143596	NP_403761.1	16120448	108	110277	110426	+	YPO0101	YPO0101	hypothetical protein (NCBI ptt file)								
143597	NP_403762.1	16120449	108	110732	111316	+	YPO0102	YPO0102	putative exported protein (NCBI ptt file)								
143598	NP_403763.1	16120450	108	111918	111433	-	YPO0103	menG	S-adenosylmethionine:2-demethylmenaquinone methyltransferase (NCBI ptt file)	COG684	H	Demethylmenaquinone methyltransferase	TIGR01935 RraA family,TIGR02998 regulator of ribonuclease activity A [rraA]	Regulatory functions:Protein interactions			
